prglng1,count(*)
Java,215
Java,215
Access,3
COBOL,45
Java,215
Shell,7
Java,215
Siebel,6
Java,215
Java,215
C,20
ColdFusion,1
C,20
"Visual Basic",33
Java,215
Shell,7
Java,215
Java,215
PowerBuilder,1
Oracle,17
ABAP,6
"Amdocs framework",14
Oracle,17
Java,215
Java,215
COBOL,45
COBOL,45
PL/SQL,15
EASYTRIEVE,2
COBOL,45
PL/I,16
COBOL,45
Java,215
Spreadsheet,1
"Amdocs framework",14
"Visual Basic",33
Java,215
Java,215
Java,215
C,20
"Amdocs framework",14
PL/I,16
"Visual Basic",33
COBOL,45
Java,215
"Visual C++",3
"Visual Basic",33
Siebel,6
Java,215
COOL:Gen,5
DELPHI,8
Java,215
C,20
Java,215
Oracle,17
"Amdocs framework",14
Java,215
Java,215
Java,215
PL/I,16
Java,215
C,20
COBOL,45
COBOL,45
Java,215
Java,215
Java,215
DELPHI,8
Java,215
COBOL,45
"Unix Shell",2
Java,215
Java,215
Oracle,17
Java,215
SQL,5
ASP,2
ASP.Net,2
COBOL,45
Java,215
RPG,4
"Visual Basic",33
Java,215
C,20
.NET,6
Oracle,17
PL/SQL,15
.Net,6
Java,215
C#,4
SQL,5
Java,215
PL/I,16
Java,215
COBOL,45
Java,215
Java,215
Java,215
Java,215
Java,215
PL/I,16
JavaScript,2
COBOL,45
Java,215
Java,215
"Visual Basic",33
Java,215
PL/I,16
Shell,7
Java,215
"Lotus Notes",3
Java,215
Java,215
C,20
Java,215
Java,215
Access,3
"Visual Basic",33
PL/SQL,15
SQL,5
COBOL,45
COBOL,45
Java,215
TELON,1
COBOL,45
"Visual Basic",33
"Lotus Notes",3
Shell,7
RPG,4
Java,215
Oracle,17
Shell,7
PL/SQL,15
PL/I,16
Java,215
"Amdocs framework",14
ABAP,6
PL/SQL,15
Oracle,17
Mixed,9
Java,215
"Amdocs framework",14
Java,215
C++,6
C,20
Java,215
Java,215
Java,215
"html / jsp",2
COBOL,45
Java,215
Java,215
Oracle,17
TIBCO,5
Unknown,1
Shell,7
Java,215
Java,215
Java,215
C#,4
Java,215
Java,215
Java,215
Java,215
Oracle,17
Java,215
Java,215
Java,215
COBOL,45
COBOL,45
"Visual Basic",33
VoiceXML,1
Java,215
COBOL,45
Java,215
Java,215
COBOL,45
Java,215
PL/I,16
Oracle,17
COBOL,45
Mixed,9
Oracle,17
COBOL,45
ADS/Online,2
Java,215
COBOL,45
Java,215
HTML,3
Java,215
SQL,5
Java,215
DELPHI,8
"Visual C++",3
Java,215
C++,6
Java,215
"Visual Basic",33
COBOL,45
COBOL,45
C,20
Java,215
Siebel,6
Mixed,9
Java,215
"ABAP 4",2
Java,215
Java,215
Java,215
PL/SQL,15
.Net,6
Pro*C,1
PL/I,16
C,20
Java,215
PL/I,16
COBOL,45
COBOL,45
Java,215
HTML,3
COBOL,45
Java,215
Java,215
C++,6
PL/I,16
Java,215
Java,215
Java,215
DELPHI,8
"Brightware proprietary",1
Java,215
Java,215
"Amdocs framework",14
"Visual Basic",33
LEX,1
COBOL,45
Java,215
Mixed,9
Java,215
Java,215
Java,215
Java,215
Java,215
.Net,6
ABAP,6
Java,215
Java,215
PYTHON,1
COOL:Gen,5
HTML,3
"Visual Basic",33
Mixed,9
"Visual Basic",33
"Visual Basic",33
Siebel,6
Mixed,9
Java,215
PL/SQL,15
Oracle,17
"Visual Basic 6.0",1
Java,215
Java,215
DELPHI,8
Java,215
Java,215
PL/SQL,15
COOL:Gen,5
Assembler,1
Access,3
"Visual C++",3
"Visual Basic",33
CICS,3
PL/I,16
Java,215
"Visual Basic",33
Java,215
Java,215
Java,215
COBOL,45
Oracle,17
Java,215
Java,215
CICS,3
Java,215
COBOL,45
ABAP,6
Java,215
Java,215
"Visual Basic",33
ClearBasic,1
C,20
COBOL,45
COBOL,45
Java,215
COBOL,45
COBOL,45
"Visual Basic",33
"Visual Basic",33
C,20
DELPHI,8
"Object oriented language",1
Java,215
C,20
Java,215
Java,215
TIBCO,5
Java,215
Java,215
"Unix Shell",2
Java,215
PL/SQL,15
RPG,4
Java,215
Java,215
Java,215
"Visual Basic",33
Java,215
"Visual Basic",33
Java,215
"Amdocs framework",14
Java,215
Java,215
.Net,6
Java,215
STAFFWARE,1
COBOL,45
Oracle,17
C,20
Java,215
"Visual Basic",33
Java,215
Java,215
"ABAP 4",2
Java,215
Java,215
Java,215
"Visual Basic",33
Java,215
RPG,4
Mixed,9
"Lotus Notes",3
ABAP,6
EASYTRIEVE,2
ADS/Online,2
"Amdocs framework",14
Java,215
Java,215
Java,215
CICS,3
Java,215
Java,215
ABAP,6
SAS,1
Java,215
Shell,7
Java,215
COBOL,45
Java,215
ARBOR/BP,1
Java,215
Java,215
Java,215
Java,215
C,20
Java,215
TIBCO,5
Java,215
ASP,2
Java,215
COBOL,45
Java,215
"Amdocs framework",14
COOL:Gen,5
"html / jsp",2
Java,215
COBOL,45
Java,215
Java,215
Oracle,17
Java,215
COBOL,45
COBOL,45
COBOL,45
C,20
Java,215
Java,215
Java,215
JavaScript,2
C++,6
C,20
Java,215
PL/I,16
Java,215
PL/SQL,15
Java,215
C#,4
DELPHI,8
Java,215
DELPHI,8
Java,215
Java,215
Mixed,9
Java,215
Siebel,6
Java,215
Java,215
Java,215
PL/SQL,15
Java,215
Java,215
PL/SQL,15
Java,215
"Visual Basic",33
Formspath,1
Java,215
Java,215
Java,215
Java,215
Java,215
Java,215
Java,215
Java,215
Java,215
C,20
Oracle,17
Java,215
Java,215
Siebel,6
Java,215
C++,6
Java,215
Java,215
Java,215
"Amdocs framework",14
Java,215
PL/SQL,15
Java,215
Java,215
Java,215
C++,6
Java,215
Java,215
Java,215
Java,215
NATURAL,2
Java,215
"Visual Basic",33
"Visual Basic",33
Java,215
Java,215
Java,215
Java,215
Mixed,9
"Visual Basic",33
TIBCO,5
PL/I,16
ASP.Net,2
Java,215
Java,215
Java,215
"Amdocs framework",14
.Net,6
APPS,1
Java,215
C#,4
PL/SQL,15
Java,215
C,20
"Visual Basic",33
"Amdocs framework",14
"Visual Basic",33
Java,215
Java,215
Java,215
COBOL,45
"Visual Basic",33
"Visual Basic",33
Java,215
Oracle,17
Java,215
PL/SQL,15
"Visual Basic",33
"Amdocs framework",14
PL/I,16
NATURAL,2
IIS,1
J2EE,1
C,20
Java,215
Java,215
Java,215
"Visual Basic",33
Java,215
TIBCO,5
COBOL,45
COBOL,45
SQL,5
Java,215
COOL:Gen,5
PL/I,16
