dvlplt,count(*)
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
MF,87
Multi,363
Multi,363
Multi,363
MF,87
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
MR,24
Multi,363
Multi,363
Multi,363
Multi,363
MF,87
MF,87
Multi,363
MF,87
MF,87
MF,87
Multi,363
Multi,363
Multi,363
Multi,363
PC,26
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
MF,87
PC,26
MF,87
Multi,363
Multi,363
MR,24
Multi,363
PC,26
MF,87
PC,26
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
MF,87
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
PC,26
Multi,363
MF,87
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
MF,87
Multi,363
MF,87
Multi,363
MF,87
Multi,363
MF,87
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
PC,26
MR,24
MR,24
MF,87
Multi,363
MF,87
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
MF,87
Multi,363
MF,87
Multi,363
Multi,363
Multi,363
Multi,363
MF,87
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
MR,24
Multi,363
Multi,363
PC,26
MF,87
Multi,363
MR,24
Multi,363
PC,26
Multi,363
MF,87
MF,87
Multi,363
Multi,363
Multi,363
MF,87
Multi,363
Multi,363
Multi,363
Multi,363
MF,87
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
MF,87
MF,87
Multi,363
Multi,363
Multi,363
MF,87
MF,87
Multi,363
MR,24
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
PC,26
Multi,363
Multi,363
Multi,363
MF,87
MF,87
MF,87
Multi,363
Multi,363
Multi,363
Multi,363
PC,26
MF,87
Multi,363
MF,87
Multi,363
MF,87
Multi,363
MR,24
MF,87
Multi,363
Multi,363
MF,87
Multi,363
Multi,363
MF,87
Multi,363
Multi,363
PC,26
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
MF,87
MF,87
Multi,363
MF,87
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
PC,26
MF,87
MF,87
MR,24
MF,87
MF,87
MF,87
Multi,363
MR,24
MF,87
Multi,363
Multi,363
Multi,363
MF,87
Multi,363
Multi,363
MF,87
PC,26
MR,24
Multi,363
Multi,363
Multi,363
MR,24
MR,24
MF,87
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
MR,24
Multi,363
Multi,363
Multi,363
MF,87
Multi,363
MF,87
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
PC,26
Multi,363
Multi,363
Multi,363
MF,87
MF,87
Multi,363
PC,26
Multi,363
MF,87
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
MF,87
Multi,363
Multi,363
MR,24
MF,87
Multi,363
MF,87
Multi,363
Multi,363
Multi,363
MF,87
Multi,363
Multi,363
MF,87
MF,87
Multi,363
MF,87
MF,87
MR,24
Multi,363
Multi,363
PC,26
Multi,363
Multi,363
Multi,363
Multi,363
MF,87
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
MF,87
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
MR,24
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
MF,87
Multi,363
PC,26
Multi,363
MF,87
Multi,363
Multi,363
Multi,363
PC,26
Multi,363
MF,87
Multi,363
Multi,363
MR,24
MF,87
Multi,363
Multi,363
Multi,363
MF,87
MF,87
MR,24
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
MF,87
Multi,363
MF,87
Multi,363
Multi,363
MF,87
Multi,363
PC,26
MF,87
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
MF,87
MF,87
Multi,363
Multi,363
Multi,363
Multi,363
PC,26
MR,24
MF,87
MF,87
MF,87
Multi,363
Multi,363
Multi,363
Multi,363
PC,26
Multi,363
PC,26
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
MR,24
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
PC,26
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
PC,26
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
PC,26
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
PC,26
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
MR,24
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
MR,24
Multi,363
Multi,363
Multi,363
MF,87
Multi,363
MF,87
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
Multi,363
