PryId,IndSct,OrgTyp,AppTyp,DvlTyp,DvlPlt,LngTyp,PrgLng1,FncSze,NWELL1,SmmWrkEff,PrjElpTme,MaxTeaSze,DBMS1,DvlMtd,LOC
Y50003,Communication,Telecommunications,Online. eSales,Enhancement,Multi,,,67,741,608,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50007,Communication,Telecommunications,Customer relationship management,Enhancement,,3GL,Java,51,314,288,1,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50011,Construction,Construction,Stock control & order processing,New Development,Multi,4GL,Access,443,856,796,3,-1,ACCESS,Waterfall (incl Linear Processing & SSADM),-1
Y50012,Wholesale & Retail,Billing,Billing,Enhancement,,3GL,COBOL,76,1100,1100,-1,-1,,,-1
Y50014,,,,Enhancement,,,,3,28,28,-1,-1,,,-1
Y50019,Communication,Telecommunications,Data Warehouse,Enhancement,Multi,3GL,Shell,98,324,266,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50026,Insurance,Insurance,Sales contact management,New Development,MF,3GL,Java,620,18160,18160,7,-1,IMSDB2,Waterfall (incl Linear Processing & SSADM),-1
Y50028,Communication,Telecommunications,Customer relationship management,Enhancement,Multi,4GL,Siebel,138,2954,2422,5,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50033,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,162,92380,92380,20,253,,,-1
Y50046,Communication,Telecommunications,Customer relationship management,Enhancement,Multi,3GL,Java,63,888,728,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50047,Wholesale & Retail,Ordering,Stock control & order processing,Enhancement,MF,3GL,C,730,20975,20975,-1,-1,Oracle,,-1
Y50052,Professional Services,Sales & Marketing,Trading,Enhancement,,4GL,ColdFusion,179,789,789,-1,-1,,,-1
Y50056,Communication,Voice Provisioning,Voice Provisioning,Enhancement,,3GL,C,114,7290,7290,-1,-1,,,-1
Y50063,Manufacturing,Manufacturing,Customer billing/relationship management,New Development,Multi,3GL,Visual Basic,849,2499,1874,5,-1,Oracle,Waterfall (incl Linear Processing & SSADM),-1
Y50065,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,34,3444,3444,12,90,,,-1
Y50069,Communication,Telecommunications,Data Warehouse,Enhancement,,3GL,Shell,949,3567,2925,3,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50074,,,,Enhancement,,,,460,2253,1667,4,5,,,-1
Y50078,Communication,Telecommunications,Broadband application,Enhancement,Multi,,,56,439,360,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50080,,,,Enhancement,,4GL,PowerBuilder,46,1009,1009,2,-1,,,-1
Y50084,,,,Enhancement,,4GL,Oracle,136,959,758,3,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50085,Electronics & Computers,Computers & Software,,Enhancement,MR,4GL,ABAP,416,9205,9205,7,28,Yes,Incremental,-1
Y50101,Communication,Telecommunications,Customer relationship management,Enhancement,,4GL,Amdocs framework,90,1891,1558,2,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50104,,,,Enhancement,,4GL,Oracle,7,396,396,2,-1,,,-1
Y50119,Communication,Telecommunications,Customer relationship management,Enhancement,,,,124,1838,1687,2,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50136,,,Financial application area,New Development,Multi,4GL,,83,855,855,5,-1,Interactive,,-1
Y50139,,,Transaction/Production System,Enhancement,MF,3GL,COBOL,80,3199,2879,14,4,DB2,,-1
Y50143,Government,Public AdministrationCommunity ServicesInsurance,Electronic Data Interchange,New Development,MF,3GL,COBOL,243,2924,2924,8,8,DB2,,-1
Y50149,Communication,Telecommunications,Customer relationship management,Enhancement,Multi,3GL,PL/SQL,244,4566,3744,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50151,Banking,Banking,Transaction/Production System,New Development,MF,4GL,EASYTRIEVE,174,2288,1876,7,2,IMS,,-1
Y50154,Insurance,Insurance,Financial transaction process/accounting,New Development,MF,3GL,COBOL,152,2569,2389,4,-1,IMS,Waterfall (incl Linear Processing & SSADM),-1
Y50159,Banking,Banking,Financial transaction process/accounting,Enhancement,MF,3GL,PL/I,4,145,109,0,-1,"IMS/DB,DC",Waterfall (incl Linear Processing & SSADM),-1
Y50164,,,MS Billing,Enhancement,,3GL,COBOL,68,12702,12702,-1,-1,,,-1
Y50173,,,Financial application area,Enhancement,Multi,3GL,Java,25,118,118,1,-1,Interactive,,-1
Y50174,,,,New Development,,4GL,Spreadsheet,582,2632,2632,6,7,,,6800
Y50177,Communication,Telecommunications,Customer relationship management,Enhancement,,4GL,Amdocs framework,147,1774,1462,2,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50180,Insurance,Insurance,Financial transaction process/accounting,New Development,PC,3GL,Visual Basic,309,2516,2340,3,-1,SQL Server,Waterfall (incl Linear Processing & SSADM),-1
Y50184,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,13,2565,2565,15,28,,,-1
Y50196,,,,New Development,,3GL,Java,69,2915,2915,9,-1,Interactive,,-1
Y50200,Electronics & Computers,Computers & Software,"Job, case, incident, project management",Enhancement,Multi,3GL,Java,90,1112,1112,4,4,,Waterfall (incl Linear Processing & SSADM),-1
Y50213,,,,New Development,,3GL,C,4329,73922,69930,61,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50215,Communication,Telecommunications,Customer relationship management,Enhancement,,4GL,Amdocs framework,74,491,405,2,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50218,Utilities,"Electricity, Gas, Water",Management Information System,New Development,MF,3GL,PL/I,163,668,668,9,3,DB2,,-1
Y50220,Electronics & Computers,Computers & Software,,Enhancement,PC,3GL,Visual Basic,40,514,514,4,3,DB2,Waterfall (incl Linear Processing & SSADM),-1
Y50223,,,,Enhancement,MF,3GL,COBOL,16,536,536,4,-1,,,-1
Y50226,Insurance,Insurance,Unknown,Enhancement,,,,206,2020,1656,1,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50232,Financial,"Financial, Property & Business Services",Financial transaction process/accounting,Enhancement,,4GL,Visual C++,171,420,420,-1,-1,Interactive,,-1
Y50233,Communication,Communications,Complex process control,Enhancement,MR,3GL,Visual Basic,226,3901,3238,4,10,Oracle,,-1
Y50238,Communication,Telecommunications,Customer relationship management,Enhancement,Multi,4GL,Siebel,284,7109,5829,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50248,Communication,Telecommunications,Online analysis and reporting,Enhancement,PC,3GL,Java,302,5829,4372,5,10,Oracle,Waterfall (incl Linear Processing & SSADM),-1
Y50249,Government,Government,Management of Licences and Permits,Enhancement,MF,ApG,COOL:Gen,16,657,598,11,-1,,,-1
Y50251,Government,Government,Government,New Development,PC,4GL,DELPHI,40,120,120,1,2,,Rapid Application Development (RAD),-1
Y50252,Communication,Telecommunications,Online. eSales,Enhancement,Multi,,,63,1161,952,8,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50257,Communication,Communications,Transaction/Production System,Enhancement,,3GL,C,307,2994,2994,13,11,,,-1
Y50261,,,Financial application area,New Development,Multi,3GL,Java,166,946,946,3,-1,Interactive,,-1
Y50265,Communication,Communications,Management Information System,Enhancement,,4GL,Oracle,87,1606,1333,4,4,,,-1
Y50267,Communication,Telecommunications,Customer relationship management,Enhancement,,4GL,Amdocs framework,107,1380,1137,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50268,Communication,Telecommunications,Workflow support & management,Enhancement,Multi,,,139,2010,1648,2,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50278,Communication,Telecommunications,Online. eSales,Enhancement,Multi,,,427,5190,4256,3,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50281,Insurance,Insurance,Unknown,Enhancement,,,,60,323,265,2,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50283,Financial,"Financial, Property & Business Services",Financial transaction process/accounting,Enhancement,MF,3GL,PL/I,224,12548,7780,12,8,IMSDB2,Waterfall (incl Linear Processing & SSADM),-1
Y50305,Communication,Telecommunications,Customer relationship management,Enhancement,Multi,3GL,Java,110,1037,850,5,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50306,,,Telecom & network management,Enhancement,,3GL,C,745,15112,15112,-1,-1,,,-1
Y50318,Communication,Communications,Transaction/Production System,Enhancement,,3GL,COBOL,77,1936,1607,6,6,,,-1
Y50323,Insurance,Insurance,Financial transaction process/accounting,Enhancement,,3GL,COBOL,647,8459,6006,9,21,,,-1
Y50331,Communication,Telecommunications,Other,Enhancement,,3GL,Java,119,252,208,9,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50333,Communication,Telecommunications,Workflow support & management,Enhancement,,,,78,776,636,2,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50343,Insurance,Insurance,Unknown,Enhancement,,,,343,1550,1271,11,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y50349,Government,Government,Military,New Development,PC,4GL,DELPHI,1286,19344,19344,20,6,,Rapid Application Development (RAD),-1
Y50352,,,,Enhancement,,,,275,1888,1888,6,-1,,,-1
Y50353,Insurance,Insurance,Financial transaction process/accounting,Enhancement,MF,3GL,COBOL,68,2710,2520,3,-1,IMS,Waterfall (incl Linear Processing & SSADM),-1
