PryId,DatQltRtn,UfpRtn,CouApp,RscLvl,IndSct,OrgTyp,AppTyp,DvlTyp,DvlPlt,LngTyp,PrgLng1,FncSze,NWELL1,SmmWrkEff,PrjElpTme,MaxTeaSze,DBMS1,DvlMtd,LOC,TtlPrjCst
10003,B,B,"IFPUG 4+",1,Communication,Telecommunications,"Online. eSales",Enhancement,Multi,,,67,741,608,4,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10007,B,B,"IFPUG 4+",1,Communication,Telecommunications,"Customer relationship management",Enhancement,,3GL,Java,51,314,288,1,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10011,B,A,"IFPUG 4+",1,Construction,Construction,"Stock control & order processing","New Development",Multi,4GL,Access,443,856,796,3,-1,ACCESS,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10012,B,A,"IFPUG 4+",1,"Wholesale & Retail",Billing,Billing,Enhancement,,3GL,COBOL,76,1100,1100,-1,-1,,,-1,-1
10014,B,A,"IFPUG 4+",1,,,,Enhancement,,,,3,28,28,-1,-1,,,-1,-1
10015,B,A,"IFPUG 4+",4,"Wholesale & Retail","Wholesale & Retail Trade","Management Information System",Enhancement,MF,3GL,COBOL,382,-1,22000,3,-1,Interactive,,-1,-1
10019,B,B,"IFPUG 4+",1,Communication,Telecommunications,"Data Warehouse",Enhancement,Multi,3GL,Shell,98,324,266,4,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10026,B,A,"IFPUG 4+",1,Insurance,Insurance,"Sales contact management","New Development",MF,3GL,Java,620,18160,18160,7,-1,IMSDB2,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10028,B,B,"IFPUG 4+",1,Communication,Telecommunications,"Customer relationship management",Enhancement,Multi,4GL,Siebel,138,2954,2422,5,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10033,B,B,"IFPUG 4+",1,"Medical & Health Care","Medical and Health Care","not recorded",Enhancement,,,,162,92380,92380,20,253,,,-1,4071933
10046,B,B,"IFPUG 4+",1,Communication,Telecommunications,"Customer relationship management",Enhancement,Multi,3GL,Java,63,888,728,4,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10047,B,A,"IFPUG 4+",1,"Wholesale & Retail",Ordering,"Stock control & order processing",Enhancement,MF,3GL,C,730,20975,20975,-1,-1,Oracle,,-1,-1
10052,B,A,"IFPUG 4+",1,"Professional Services","Sales & Marketing",Trading,Enhancement,,4GL,ColdFusion,179,789,789,-1,-1,,,-1,-1
10056,B,A,"IFPUG 4+",1,Communication,"Voice Provisioning","Voice Provisioning",Enhancement,,3GL,C,114,7290,7290,-1,-1,,,-1,-1
10063,B,A,"IFPUG 4+",1,Manufacturing,Manufacturing,"Customer billing/relationship management","New Development",Multi,3GL,"Visual Basic",849,2499,1874,5,-1,Oracle,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10065,B,B,"IFPUG 4+",1,"Medical & Health Care","Medical and Health Care","not recorded",Enhancement,,,,34,3444,3444,12,90,,,-1,178444
10069,B,B,"IFPUG 4+",1,Communication,Telecommunications,"Data Warehouse",Enhancement,,3GL,Shell,949,3567,2925,3,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10074,B,A,"IFPUG 4+",1,,,,Enhancement,,,,460,2253,1667,4,5,,,-1,-1
10075,A,B,"IFPUG 4+",4,Financial,"Financial, Property & Business Services","Office Information System","New Development",PC,4GL,SQL,1502,6020,7490,4,7,"Gupta SQLBASE","Joint Application Development (JAD)Multifunctional TeamsRapid Application Development (RAD)Timeboxing",-1,-1
10078,B,B,"IFPUG 4+",1,Communication,Telecommunications,"Broadband application",Enhancement,Multi,,,56,439,360,4,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10080,B,A,"IFPUG 4+",1,,,,Enhancement,,4GL,PowerBuilder,46,1009,1009,2,-1,,,-1,-1
10084,B,B,"IFPUG 4+",1,,,,Enhancement,,4GL,Oracle,136,959,758,3,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10085,A,B,"IFPUG 4+",1,"Electronics & Computers","Computers & Software",,Enhancement,MR,4GL,ABAP,416,9205,9205,7,28,Yes,Incremental,-1,-1
10101,B,A,"IFPUG 4+",1,Communication,Telecommunications,"Customer relationship management",Enhancement,,4GL,"Amdocs framework",90,1891,1558,2,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10104,B,A,"IFPUG 4+",1,,,,Enhancement,,4GL,Oracle,7,396,396,2,-1,,,-1,-1
10116,B,B,"IFPUG 4+",4,,,"Management Information System",Enhancement,MR,,,779,-1,25040,-1,-1,Oracle,,-1,-1
10119,B,B,"IFPUG 4+",1,Communication,Telecommunications,"Customer relationship management",Enhancement,,,,124,1838,1687,2,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10132,B,B,"IFPUG 4+",3,Manufacturing,Manufacturing,"Cars selling",Enhancement,MR,3GL,Java,260,-1,3202,3,-1,Oracle,,-1,-1
10136,B,B,"IFPUG 4+",1,,,"Financial application area","New Development",Multi,4GL,,83,855,855,5,-1,Interactive,,-1,-1
10139,B,A,"IFPUG 4+",1,,,"Transaction/Production System",Enhancement,MF,3GL,COBOL,80,3199,2879,14,4,DB2,,-1,-1
10143,A,A,"IFPUG 4+",1,Government,"Public AdministrationCommunity ServicesInsurance","Electronic Data Interchange","New Development",MF,3GL,COBOL,243,2924,2924,8,8,DB2,,-1,-1
10145,B,B,"IFPUG 4+",-1,Manufacturing,Manufacturing,"Computing of the thermodynamic process",Enhancement,MR,4GL,MATLAB,99,-1,800,9,-1,MATLAB,,-1,-1
10149,B,B,"IFPUG 4+",1,Communication,Telecommunications,"Customer relationship management",Enhancement,Multi,3GL,PL/SQL,244,4566,3744,4,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10151,B,A,"IFPUG 4+",1,Banking,Banking,"Transaction/Production System","New Development",MF,4GL,EASYTRIEVE,174,2288,1876,7,2,IMS,,-1,-1
10154,B,A,"IFPUG 4+",1,Insurance,Insurance,"Financial transaction process/accounting","New Development",MF,3GL,COBOL,152,2569,2389,4,-1,IMS,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10159,B,A,"IFPUG 4+",1,Banking,Banking,"Financial transaction process/accounting",Enhancement,MF,3GL,PL/I,4,145,109,0,-1,"IMS/DB,DC","Waterfall (incl Linear Processing & SSADM)",-1,-1
10164,B,A,"IFPUG 4+",1,,,"MS Billing",Enhancement,,3GL,COBOL,68,12702,12702,-1,-1,,,-1,-1
10173,B,B,"IFPUG 4+",1,,,"Financial application area",Enhancement,Multi,3GL,Java,25,118,118,1,-1,Interactive,,-1,-1
10174,B,A,"IFPUG 4+",1,,,,"New Development",,4GL,Spreadsheet,582,2632,2632,6,7,,,6800,-1
10177,B,A,"IFPUG 4+",1,Communication,Telecommunications,"Customer relationship management",Enhancement,,4GL,"Amdocs framework",147,1774,1462,2,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10180,B,A,"IFPUG 4+",1,Insurance,Insurance,"Financial transaction process/accounting","New Development",PC,3GL,"Visual Basic",309,2516,2340,3,-1,"SQL Server","Waterfall (incl Linear Processing & SSADM)",-1,-1
10184,B,B,"IFPUG 4+",1,"Medical & Health Care","Medical and Health Care","not recorded",Enhancement,,,,13,2565,2565,15,28,,,-1,91004
10196,B,A,"IFPUG 4+",1,,,,"New Development",,3GL,Java,69,2915,2915,9,-1,Interactive,,-1,-1
10200,A,A,"IFPUG 4+",1,"Electronics & Computers","Computers & Software","Job, case, incident, project management",Enhancement,Multi,3GL,Java,90,1112,1112,4,4,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10213,B,B,"IFPUG 4+",1,,,,"New Development",,3GL,C,4329,73922,69930,61,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10215,B,A,"IFPUG 4+",1,Communication,Telecommunications,"Customer relationship management",Enhancement,,4GL,"Amdocs framework",74,491,405,2,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10218,A,A,"IFPUG 4+",1,Utilities,"Electricity, Gas, Water","Management Information System","New Development",MF,3GL,PL/I,163,668,668,9,3,DB2,,-1,-1
10220,A,A,"IFPUG 4+",1,"Electronics & Computers","Computers & Software",,Enhancement,PC,3GL,"Visual Basic",40,514,514,4,3,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10223,B,B,"IFPUG 4+",1,,,,Enhancement,MF,3GL,COBOL,16,536,536,4,-1,,,-1,-1
10226,B,B,"IFPUG 4+",1,Insurance,Insurance,Unknown,Enhancement,,,,206,2020,1656,1,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10232,B,A,"IFPUG 4+",1,Financial,"Financial, Property & Business Services","Financial transaction process/accounting",Enhancement,,4GL,"Visual C++",171,420,420,-1,-1,Interactive,,-1,-1
10233,A,A,"IFPUG 4+",1,Communication,Communications,"Complex process control",Enhancement,MR,3GL,"Visual Basic",226,3901,3238,4,10,Oracle,,-1,-1
10238,B,B,"IFPUG 4+",1,Communication,Telecommunications,"Customer relationship management",Enhancement,Multi,4GL,Siebel,284,7109,5829,4,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10247,B,B,"IFPUG 4+",3,Manufacturing,Manufacturing,"Cars selling",Enhancement,,3GL,Java,215,-1,2704,10,-1,Oracle,,-1,-1
10248,A,A,"IFPUG 4+",1,Communication,Telecommunications,"Online analysis and reporting",Enhancement,PC,3GL,Java,302,5829,4372,5,10,Oracle,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10249,A,B,"IFPUG 4+",1,Government,Government,"Management of Licences and Permits",Enhancement,MF,ApG,COOL:Gen,16,657,598,11,-1,,,-1,-1
10251,B,B,"IFPUG 4+",1,Government,Government,Government,"New Development",PC,4GL,DELPHI,40,120,120,1,2,,"Rapid Application Development (RAD)",-1,-1
10252,B,B,"IFPUG 4+",1,Communication,Telecommunications,"Online. eSales",Enhancement,Multi,,,63,1161,952,8,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10257,A,A,"IFPUG 4+",1,Communication,Communications,"Transaction/Production System",Enhancement,,3GL,C,307,2994,2994,13,11,,,-1,-1
10261,B,B,"IFPUG 4+",1,,,"Financial application area","New Development",Multi,3GL,Java,166,946,946,3,-1,Interactive,,-1,-1
