PryId,DatQltRtn,UfpRtn,CouApp,RscLvl,IndSct,OrgTyp,AppTyp,DvlTyp,DvlPlt,LngTyp,PrgLng1,FncSze,NWELL1,SmmWrkEff,PrjElpTme,MaxTeaSze,DBMS1,DvlMtd,LOC,TtlPrjCst
10003,B,B,"IFPUG 4+",1,Communication,Telecommunications,"Online. eSales",Enhancement,Multi,,,67,741,608,4,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10007,B,B,"IFPUG 4+",1,Communication,Telecommunications,"Customer relationship management",Enhancement,,3GL,Java,51,314,288,1,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10011,B,A,"IFPUG 4+",1,Construction,Construction,"Stock control & order processing","New Development",Multi,4GL,Access,443,856,796,3,-1,ACCESS,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10012,B,A,"IFPUG 4+",1,"Wholesale & Retail",Billing,Billing,Enhancement,,3GL,COBOL,76,1100,1100,-1,-1,,,-1,-1
10014,B,A,"IFPUG 4+",1,,,,Enhancement,,,,3,28,28,-1,-1,,,-1,-1
10015,B,A,"IFPUG 4+",4,"Wholesale & Retail","Wholesale & Retail Trade","Management Information System",Enhancement,MF,3GL,COBOL,382,-1,22000,3,-1,Interactive,,-1,-1
10016,B,B,NESMA,1,Construction,,"Customer relationship management",Enhancement,,4GL,Oracle,745,4583,3666,7,4,,"Agile Development",-1,319039
10019,B,B,"IFPUG 4+",1,Communication,Telecommunications,"Data Warehouse",Enhancement,Multi,3GL,Shell,98,324,266,4,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10026,B,A,"IFPUG 4+",1,Insurance,Insurance,"Sales contact management","New Development",MF,3GL,Java,620,18160,18160,7,-1,IMSDB2,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10028,B,B,"IFPUG 4+",1,Communication,Telecommunications,"Customer relationship management",Enhancement,Multi,4GL,Siebel,138,2954,2422,5,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10029,B,,COSMIC,1,Banking,Banking,"Financial transaction process/accounting","New Development",MF,3GL,COBOL,297,8186,7449,-1,-1,,,-1,-1
10033,B,B,"IFPUG 4+",1,"Medical & Health Care","Medical and Health Care","not recorded",Enhancement,,,,162,92380,92380,20,253,,,-1,4071933
10036,B,,COSMIC,4,"Electronics & Computers","EngineeringResearch & DevelopmentSoftware DevelopmentClient/Server architecture for Language Services","Management Information SystemLinguistic Software","New Development",PC,,,183,-1,460,3,-1,Oracle,,1250,-1
10039,B,C,"IFPUG 4+",1,Communication,Telecommunications,"Transaction/Production System",Enhancement,,4GL,ADS/Online,-1,271,271,4,-1,,,-1,-1
10046,B,B,"IFPUG 4+",1,Communication,Telecommunications,"Customer relationship management",Enhancement,Multi,3GL,Java,63,888,728,4,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10047,B,A,"IFPUG 4+",1,"Wholesale & Retail",Ordering,"Stock control & order processing",Enhancement,MF,3GL,C,730,20975,20975,-1,-1,Oracle,,-1,-1
10052,B,A,"IFPUG 4+",1,"Professional Services","Sales & Marketing",Trading,Enhancement,,4GL,ColdFusion,179,789,789,-1,-1,,,-1,-1
10056,B,A,"IFPUG 4+",1,Communication,"Voice Provisioning","Voice Provisioning",Enhancement,,3GL,C,114,7290,7290,-1,-1,,,-1,-1
10059,B,,COSMIC,1,"Service Industry","GovernmentCommunity Services","Customer billing/relationship management","New Development",,3GL,C#,568,7936,5873,15,-1,,"Multifunctional Teams",-1,-1
10062,B,B,FiSMA,1,Insurance,Insurance,,Enhancement,MF,3GL,PL/I,401,4321,4321,15,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10063,B,A,"IFPUG 4+",1,Manufacturing,Manufacturing,"Customer billing/relationship management","New Development",Multi,3GL,"Visual Basic",849,2499,1874,5,-1,Oracle,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10064,B,B,NESMA,1,Services,,"Report Generation",Enhancement,,4GL,.Net,1775,9685,7748,12,5,,"Agile Development",-1,612109
10065,B,B,"IFPUG 4+",1,"Medical & Health Care","Medical and Health Care","not recorded",Enhancement,,,,34,3444,3444,12,90,,,-1,178444
10066,B,,COSMIC,1,Banking,Banking,"Financial transaction process/accounting",Enhancement,PC,3GL,"Visual Basic",108,1402,1276,5,-1,,,-1,-1
10067,B,,LOC,1,Financial,"Financial, Property & Business Services",,Enhancement,,3GL,COBOL,-1,60838,60838,9,87,,,47250,-1
10069,B,B,"IFPUG 4+",1,Communication,Telecommunications,"Data Warehouse",Enhancement,,3GL,Shell,949,3567,2925,3,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10074,B,A,"IFPUG 4+",1,,,,Enhancement,,,,460,2253,1667,4,5,,,-1,-1
10075,A,B,"IFPUG 4+",4,Financial,"Financial, Property & Business Services","Office Information System","New Development",PC,4GL,SQL,1502,6020,7490,4,7,"Gupta SQLBASE","Joint Application Development (JAD)Multifunctional TeamsRapid Application Development (RAD)Timeboxing",-1,-1
10076,B,B,FiSMA,1,Insurance,Insurance,,"New Development",MF,3GL,PL/I,66,507,507,17,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10078,B,B,"IFPUG 4+",1,Communication,Telecommunications,"Broadband application",Enhancement,Multi,,,56,439,360,4,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10080,B,A,"IFPUG 4+",1,,,,Enhancement,,4GL,PowerBuilder,46,1009,1009,2,-1,,,-1,-1
10084,B,B,"IFPUG 4+",1,,,,Enhancement,,4GL,Oracle,136,959,758,3,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10085,A,B,"IFPUG 4+",1,"Electronics & Computers","Computers & Software",,Enhancement,MR,4GL,ABAP,416,9205,9205,7,28,Yes,Incremental,-1,-1
10090,B,C,"IFPUG 4+",1,Financial,"Financial, Property & Business Services","Financial transaction process/accountingClient Server",Enhancement,Multi,4GL,,-1,2525,2525,8,-1,,,-1,-1
10095,B,B,FiSMA,1,Insurance,Insurance,,"New Development",Multi,ApG,COOL:Gen,400,150,150,5,-1,,,-1,-1
10096,B,B,FiSMA,1,Insurance,Insurance,,Enhancement,Multi,4GL,,22,134,134,3,-1,,,-1,-1
10101,B,A,"IFPUG 4+",1,Communication,Telecommunications,"Customer relationship management",Enhancement,,4GL,"Amdocs framework",90,1891,1558,2,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10104,B,A,"IFPUG 4+",1,,,,Enhancement,,4GL,Oracle,7,396,396,2,-1,,,-1,-1
10109,B,B,NESMA,1,Insurance,Insurance,"Workflow support & management","New Development",PC,4GL,.Net,317,3735,3735,7,7,,,16975,362700
10116,B,B,"IFPUG 4+",4,,,"Management Information System",Enhancement,MR,,,779,-1,25040,-1,-1,Oracle,,-1,-1
10119,B,B,"IFPUG 4+",1,Communication,Telecommunications,"Customer relationship management",Enhancement,,,,124,1838,1687,2,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10132,B,B,"IFPUG 4+",3,Manufacturing,Manufacturing,"Cars selling",Enhancement,MR,3GL,Java,260,-1,3202,3,-1,Oracle,,-1,-1
10135,B,C,"IFPUG 4+",1,Communication,Telecommunications,"Transaction/Production System",Enhancement,,3GL,"Visual Basic",-1,7781,7781,3,-1,,,-1,-1
10136,B,B,"IFPUG 4+",1,,,"Financial application area","New Development",Multi,4GL,,83,855,855,5,-1,Interactive,,-1,-1
10139,B,A,"IFPUG 4+",1,,,"Transaction/Production System",Enhancement,MF,3GL,COBOL,80,3199,2879,14,4,DB2,,-1,-1
10143,A,A,"IFPUG 4+",1,Government,"Public AdministrationCommunity ServicesInsurance","Electronic Data Interchange","New Development",MF,3GL,COBOL,243,2924,2924,8,8,DB2,,-1,-1
10145,B,B,"IFPUG 4+",-1,Manufacturing,Manufacturing,"Computing of the thermodynamic process",Enhancement,MR,4GL,MATLAB,99,-1,800,9,-1,MATLAB,,-1,-1
10149,B,B,"IFPUG 4+",1,Communication,Telecommunications,"Customer relationship management",Enhancement,Multi,3GL,PL/SQL,244,4566,3744,4,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10151,B,A,"IFPUG 4+",1,Banking,Banking,"Transaction/Production System","New Development",MF,4GL,EASYTRIEVE,174,2288,1876,7,2,IMS,,-1,-1
10154,B,A,"IFPUG 4+",1,Insurance,Insurance,"Financial transaction process/accounting","New Development",MF,3GL,COBOL,152,2569,2389,4,-1,IMS,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10159,B,A,"IFPUG 4+",1,Banking,Banking,"Financial transaction process/accounting",Enhancement,MF,3GL,PL/I,4,145,109,0,-1,"IMS/DB,DC","Waterfall (incl Linear Processing & SSADM)",-1,-1
10163,A,A,"Mark II",4,Manufacturing,"ManufacturingTransport & Storage","Transaction/Production System","New Development",MF,ApG,TELON,55,503,648,6,4,DB2,,-1,-1
10164,B,A,"IFPUG 4+",1,,,"MS Billing",Enhancement,,3GL,COBOL,68,12702,12702,-1,-1,,,-1,-1
10169,B,B,NESMA,1,Insurance,Insurance,"Workflow support & management",Enhancement,PC,4GL,Oracle,168,137,137,2,1,,,-1,7416
10171,B,B,FiSMA,1,Insurance,Insurance,,Enhancement,MF,3GL,PL/I,140,1000,1000,7,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10172,B,B,FiSMA,1,Manufacturing,Manufacturing,,Enhancement,Multi,3GL,C++,135,499,499,9,-1,,,-1,-1
10173,B,B,"IFPUG 4+",1,,,"Financial application area",Enhancement,Multi,3GL,Java,25,118,118,1,-1,Interactive,,-1,-1
10174,B,A,"IFPUG 4+",1,,,,"New Development",,4GL,Spreadsheet,582,2632,2632,6,7,,,6800,-1
10176,B,C,"IFPUG 4+",1,Financial,"Financial, Property & Business Services","Financial transaction process/accountingClient Server",Enhancement,Multi,4GL,,-1,81,81,2,-1,,,-1,-1
10177,B,A,"IFPUG 4+",1,Communication,Telecommunications,"Customer relationship management",Enhancement,,4GL,"Amdocs framework",147,1774,1462,2,-1,,"Waterfall (incl Linear Processing & SSADM)",-1,-1
10178,A,,COSMIC,1,"Medical & Health Care","Medical and Health Care","Catalogue/register of things or eventsDocument managementOnline analysis and reportingWorkflow support & managementComplex process control","New Development",Multi,3GL,Java,826,2503,2503,44,4,Yes,,-1,-1
