pryidorg,orgtyp
10003,Telecommunications
10019,Telecommunications
10104,Telecommunications
10267,Telecommunications
10388,"Citizens and the Municipalities"
10496,"Medical and Health Care"
10566,"Recreation & Personnel Services"
10621,Banking
10632,Telecommunications
10649,Telecommunications
10667,Telecommunications
10750,"Medical and Health Care"
10896,Insurance
10929,"Medical and Health Care"
10960,Telecommunications
10997,Banking
11044,Banking
11055,"Wholesale & Retail TradeTransport & Storage"
11083,Government
11101,Telecommunications
11113,Telecommunications
11132,Telecommunications
11251,Government
11339,Telecommunications
11389,Telecommunications
11436,Banking
11493,"Medical and Health Care"
11527,Telecommunications
11569,Telecommunications
11714,Banking
11755,"Computers & Software"
11763,Telecommunications
11785,Telecommunications
11993,Telecommunications
12019,"Medical and Health Care"
12038,Communications
12060,"Wholesale & Retail Trade"
12082,Manufacturing
12097,Telecommunications
12146,"GovernmentCommunity Services"
12152,"Medical and Health Care"
12153,"Computers & Software"
12174,Communications
12175,Telecommunications
12181,"Medical and Health Care"
12202,Manufacturing
12204,Construction
12305,Telecommunications
12344,Telecommunications
12365,Communications
12377,"Financial, Property & Business Services"
12410,Communications
12529,"Financial, Property & Business Services"
12573,Manufacturing
12667,Banking
12684,Telecommunications
12712,"Medical and Health Care"
12728,Telecommunications
12888,Telecommunications
13137,Telecommunications
13169,Telecommunications
13217,Telecommunications
13246,Insurance
13273,"Medical and Health Care"
13303,Insurance
13367,"Voice Provisioning"
13403,Communications
13597,"Food Processing"
13652,Telecommunications
13680,"Financial, Property & Business Services"
13712,Telecommunications
13795,Telecommunications
13884,Telecommunications
13896,"Community Services"
13915,Telecommunications
13981,Insurance
14078,Telecommunications
14091,Telecommunications
14157,Insurance
14228,Communications
14257,"Electricity, Gas, Water"
14289,"GovernmentDanish citizens"
14374,Banking
14410,Government
14422,Telecommunications
14439,Government
14466,Insurance
14483,Telecommunications
14494,"Medical and Health Care"
14544,"Medical and Health Care"
14712,Insurance
14715,Telecommunications
14758,Insurance
14764,Banking
14780,Telecommunications
14879,Communications
14892,Telecommunications
14959,Telecommunications
14968,"Medical and Health Care"
14972,Insurance
15008,Telecommunications
15009,Communications
15047,"Financial, Property & Business Services"
15123,Insurance
15149,Telecommunications
15197,Government
15211,Insurance
15240,Banking
15351,Communications
15371,Communications
15402,Telecommunications
15409,Insurance
15436,Telecommunications
15489,Telecommunications
15561,"Financial, Property & Business Services"
15593,Telecommunications
15622,"Medical and Health Care"
15670,Insurance
15689,Telecommunications
15724,Telecommunications
15732,Telecommunications
15733,"Medical and Health Care"
15745,Telecommunications
15823,Government
15850,"Medical and Health Care"
15947,"Medical and Health Care"
16165,Government
16185,"Financial, Property & Business Services"
16190,Government
16191,Telecommunications
16196,"Public AdministrationCommunity ServicesInsurance"
16232,Telecommunications
16330,Insurance
16431,"Medical and Health Care"
16439,"Medical and Health Care"
16466,"GovernmentCommunity Services"
16467,Telecommunications
16525,Maintenance
16534,Telecommunications
16645,Communications
16682,"GovernmentFinancial, Property & Business Services"
16685,"Financial, Property & Business Services"
16701,Banking
16766,Communications
16771,Billing
16819,Insurance
16843,Telecommunications
16875,GovernmentDefence
16886,Telecommunications
16889,Manufacturing
16932,Telecommunications
16963,Telecommunications
16997,Insurance
17078,Telecommunications
17117,Insurance
17172,Insurance
17184,Government
17222,Insurance
17246,Telecommunications
17279,Telecommunications
17287,Local
17308,"Medical and Health Care"
17429,"Medical and Health Care"
17455,Telecommunications
17498,Communications
17584,"Medical and Health Care"
17594,"Transport & Storage"
17603,"Medical and Health Care"
17639,Communications
17663,Communications
17743,Banking
17758,Telecommunications
17872,"Oil & Petroleum"
17903,Chemicals
17990,"Medical and Health Care"
17995,Telecommunications
18012,Insurance
18015,Telecommunications
18044,Telecommunications
18088,Insurance
18119,Government
18310,Insurance
18346,"Medical and Health Care"
18361,Government
18387,"Financial, Property & Business Services"
18410,Telecommunications
18417,Telecommunications
18427,"Financial, Property & Business Services"
18428,Telecommunications
18438,Banking
