progra,conteo2ind
Telecommunications,150
"Medical and Health Care",57
Insurance,53
Communications,34
Banking,19
Government,19
"Financial, Property & Business Services",17
Manufacturing,8
"GovernmentCommunity Services",3
"Computers & Software",3
"Public AdministrationCommunity ServicesInsurance",3
"Electricity, Gas, Water",2
Maintenance,2
GovernmentDefence,2
Local,2
"Oil & Petroleum",2
Chemicals,2
Ordering,2
"Community Services",1
"GovernmentDanish citizens",1
"Citizens and the Municipalities",1
"Recreation & Personnel Services",1
"GovernmentFinancial, Property & Business Services",1
Billing,1
"Wholesale & Retail TradeTransport & Storage",1
"Wholesale & Retail Trade",1
"Transport & Storage",1
Construction,1
"Voice Provisioning",1
"GovernmentMunicipal Services",1
"GovernmentProfessional Services",1
"Food Processing",1
Electronics,1
"Business Services",1
"Aerospace / Automotive",1
"Virtual Assistants (Lingubots)",1
Energy,1
Distribution,1
