pryidapp,conteo2app
10003,12
10019,10
10104,187
10267,33
10388,8
10496,187
10566,187
10621,187
10632,33
10649,187
10667,33
10750,187
10896,187
10929,187
10960,3
10997,24
11044,9
11055,187
11083,5
11101,187
11113,187
11132,12
11251,1
11339,187
11389,187
11436,3
11493,187
11527,10
11569,187
11714,24
11755,187
11763,33
11785,10
11993,2
12019,187
12038,13
12060,1
12082,187
12097,12
12146,1
12152,187
12153,1
12174,2
12175,12
12181,187
12202,8
12204,187
12305,12
12344,5
12365,9
12377,187
12410,24
12529,187
12573,2
12667,187
12684,5
12712,187
12728,187
12888,10
13137,5
13169,187
13217,187
13246,187
13273,187
13303,187
13367,1
13403,1
13597,187
13652,33
13680,187
13712,187
13795,187
13884,187
13896,2
13915,33
13981,1
14078,33
14091,33
14157,187
14228,24
14257,1
14289,1
14374,187
14410,8
14422,187
14439,8
14466,187
14483,33
14494,187
14544,187
14712,187
14715,12
14758,187
14764,9
14780,1
14879,13
14892,33
14959,33
14968,187
14972,3
15008,12
15009,13
15047,187
15123,187
15149,33
15197,2
15211,187
15240,2
15351,2
15371,13
15402,187
15409,187
15436,187
15489,5
15561,187
15593,1
15622,187
15670,187
15689,33
15724,12
15732,33
15733,187
15745,187
15823,8
15850,187
15947,187
16165,8
16185,187
16190,8
16191,12
16196,24
16232,187
16330,187
16431,187
16439,187
16466,1
16467,187
16525,2
16534,12
16645,24
16682,187
16685,1
16701,187
16766,13
16771,1
16819,187
16843,2
16875,2
16886,12
16889,187
16932,33
16963,33
16997,187
17078,10
17117,187
17172,187
17184,3
17222,187
17246,187
17279,1
17287,1
17308,187
17429,187
17455,187
17498,187
17584,187
17594,2
17603,187
17639,24
17663,24
17743,9
17758,187
17872,2
17903,1
17990,187
17995,2
18012,187
18015,187
18044,187
18088,1
18119,1
18310,187
18346,187
18361,8
18387,24
18410,187
18417,33
18427,24
18428,12
18438,187
18442,187
18459,24
18498,33
18638,1
18663,187
18697,33
18735,4
18746,1
18808,33
18890,187
18917,187
18945,187
18961,8
19040,187
19079,187
19114,1
19122,5
19136,187
19148,187
19154,187
19189,2
19297,187
19303,8
19403,187
19410,187
19456,187
19461,187
19490,9
19491,187
19594,187
19659,12
19660,187
19671,24
19680,1
19730,187
19757,1
19799,33
19815,1
19881,8
19885,187
19905,3
20082,187
20093,187
20106,24
20115,33
20123,187
20177,24
20236,187
20352,187
20398,187
20419,1
20477,2
20538,187
20614,187
20758,12
20776,12
20837,187
20887,187
20892,8
21078,10
21107,187
21114,12
21151,13
21180,2
21195,8
21198,3
21261,187
21317,187
21370,187
21394,187
21399,24
21420,187
21429,1
21433,10
21467,33
21496,187
21522,187
21552,187
21609,13
21623,33
21668,187
21775,13
21824,187
21859,187
21915,9
22063,24
22274,2
22342,12
22361,24
22425,187
22465,187
22471,187
22495,5
22507,24
22638,187
22727,8
22776,33
22886,13
22893,12
22922,187
22951,1
22957,5
23066,187
23110,10
23122,187
23182,33
23317,187
23467,187
23518,13
23538,187
23559,9
23565,187
23573,187
23656,3
23687,3
23698,2
23708,9
23712,2
23741,187
23766,187
23777,13
23784,187
23972,187
24009,187
24042,24
24043,12
24125,2
24135,8
24141,10
24151,12
24210,187
24366,24
24407,2
24457,3
24505,4
24543,187
24573,5
24615,187
24629,187
24633,12
24661,187
24851,187
24866,187
24889,187
24937,187
25053,187
25120,187
25126,187
25151,33
25158,1
25213,187
25268,187
25270,187
25310,12
25336,187
25343,187
25346,187
25438,33
25461,187
25509,13
25516,4
25543,1
25618,1
25641,1
25786,8
25885,187
25916,1
25926,24
25931,33
25975,1
25979,187
26007,33
26047,187
26096,187
26105,187
26137,187
26156,1
26187,33
26199,13
26274,12
26284,2
26290,187
26315,187
26339,1
26391,10
26457,187
26470,5
26513,33
26537,187
26575,187
26604,187
26738,187
26765,9
26888,187
26895,187
26925,187
26994,2
26997,1
27060,24
27151,33
27171,12
27245,187
27357,24
27361,2
27423,187
27574,187
27727,24
27743,187
27745,187
27858,4
