pryidapp,apptyp
10003,"Online. eSales"
10019,"Data Warehouse"
10104,
10267,"Customer relationship management"
10388,"Stock control & order processing"
10496,"not recorded"
10566,"Financial transaction process/accounting"
10621,"Financial transaction process/accounting"
10632,"Customer relationship management"
10649,
10667,"Customer relationship management"
10750,"not recorded"
10896,
10929,"not recorded"
10960,Other
10997,"Transaction/Production System"
11044,"Management Information System"
11055,"Financial transaction process/accounting"
11083,"Workflow support & management"
11101,
11113,
11132,"Financial application area"
11251,"Customer billing/relationship management"
11339,
11389,
11436,"Sales contact management"
11493,"not recorded"
11527,"Data Warehouse"
11569,"Financial transaction process/accounting"
11714,"Transaction/Production System"
11755,"Financial transaction process/accounting"
11763,"Customer relationship management"
11785,"Data Warehouse"
11993,"Other: Integration"
12019,"not recorded"
12038,"relatively complex application"
12060,"Inventory Management"
12082,"Financial transaction process/accounting"
12097,"Online. eSales"
12146,"Logistic or supply planning & controlManagement or performance reportingPersonal productivity (e.g. spreadsheet)Workflow support & management"
12152,"not recorded"
12153,"Call Center Management"
12174,"Decision Support System"
12175,"Financial application area"
12181,"not recorded"
12202,"Stock control & order processing"
12204,"Financial transaction process/accounting"
12305,"Online. eSales"
12344,Integration
12365,"Management Information System"
12377,"Financial transaction process/accounting"
12410,"Transaction/Production System"
12529,"Financial transaction process/accounting"
12573,"Management system"
12667,"Financial transaction process/accounting"
12684,"Workflow support & management"
12712,"not recorded"
12728,
12888,"Data Warehouse"
13137,"Workflow support & management"
13169,
13217,
13246,"Financial transaction process/accounting"
13273,"not recorded"
13303,"Financial transaction process/accounting"
13367,"Voice Provisioning"
13403,"Telecom Data Circuits"
13597,"Financial transaction process/accounting"
13652,"Customer relationship management"
13680,"Financial transaction process/accounting"
13712,
13795,
13884,
13896,"Document management"
13915,"Customer relationship management"
13981,"Sales promotion tool"
14078,"Customer relationship management"
14091,"Customer relationship management"
14157,"Financial transaction process/accounting"
14228,"Transaction/Production System"
14257,Reconciliation
14289,"Catalogue/register of things or eventsProcessing application for public subsidies"
14374,"Financial transaction process/accounting"
14410,"Management of Licences and Permits"
14422,
14439,"Management of Licences and Permits"
14466,Unknown
14483,"Customer relationship management"
14494,"not recorded"
14544,"not recorded"
14712,"Financial transaction process/accounting"
14715,"Online. eSales"
14758,"Financial transaction process/accounting"
14764,"Management Information System"
14780,"Geographic Information System"
14879,"relatively complex application"
14892,"Customer relationship management"
14959,"Customer relationship management"
14968,"not recorded"
14972,"Sales contact management"
15008,"Financial application area"
15009,"relatively complex application"
15047,"Financial transaction process/accounting"
15123,"Financial transaction process/accounting"
15149,"Customer relationship management"
15197,"Job, case, incident, project management"
15211,Unknown
15240,"Management system"
15351,"Telecom & network management"
15371,"relatively complex application"
15402,
15409,Unknown
15436,
15489,Integration
15561,"Financial transaction process/accounting"
15593,"Content Management"
15622,"not recorded"
15670,
15689,"Customer relationship management"
15724,"Online. eSales"
15732,"Customer relationship management"
15733,"not recorded"
15745,
15823,"Management of Licences and Permits"
15850,"not recorded"
15947,"not recorded"
16165,"Management of Licences and Permits"
16185,"Financial transaction process/accounting"
16190,"Management of Licences and Permits"
16191,"Online. eSales"
16196,"Transaction/Production System"
16232,
16330,
16431,"not recorded"
16439,"not recorded"
16466,"Management or performance reportingComplex process control"
16467,
16525,Maintenance
16534,"Online. eSales"
16645,"Transaction/Production System"
16682,"Financial transaction process/accounting"
16685,"Office Automation System"
16701,"Financial transaction process/accounting"
16766,"relatively complex application"
16771,Billing
16819,Unknown
16843,"Data or database management"
16875,Reporting
16886,"Financial application area"
16889,
16932,"Customer relationship management"
16963,"Customer relationship management"
16997,"Financial transaction process/accounting"
17078,"Data Warehouse"
17117,Unknown
17172,
17184,"Management or performance reporting"
17222,Unknown
17246,
17279,"Other: Online. eSales"
17287,Local
17308,"not recorded"
17429,"not recorded"
17455,
17498,
17584,"not recorded"
17594,"Logistic or supply planning & control"
17603,"not recorded"
17639,"Transaction/Production System"
17663,"Transaction/Production System"
17743,"Management Information System"
17758,
17872,"Complex process control"
17903,"Information systems"
17990,"not recorded"
17995,"Other: Integration"
18012,
18015,
18044,
18088,"Workplace Savings"
18119,IdM
18310,Unknown
18346,"not recorded"
18361,"Management of Licences and Permits"
18387,"Transaction/Production System"
18410,
18417,"Customer relationship management"
18427,"Transaction/Production System"
18428,"Online. eSales"
18438,"Financial transaction process/accounting"
18442,"Financial transaction process/accounting"
18459,"Transaction/Production System"
18498,"Customer relationship management"
18638,"MS Business Platform"
18663,
18697,"Customer relationship management"
18735,"Customer billing"
18746,"Catalogue/register of things or eventsWorkflow support & managementElectronic Data Interchange"
18808,"Customer relationship management"
18890,Unknown
18917,
18945,"Financial transaction process/accounting"
18961,"Stock control & order processing"
19040,"not recorded"
19079,"not recorded"
19114,"Tax system"
19122,Integration
19136,"not recorded"
19148,
19154,"Financial transaction process/accounting"
19189,"Logistic or supply planning & control"
19297,Unknown
19303,"Stock control & order processing"
19403,"not recorded"
19410,"Financial transaction process/accounting"
19456,"Financial transaction process/accounting"
19461,"not recorded"
19490,"Management Information System"
19491,
19594,Unknown
19659,"Financial application area"
19660,"Financial transaction process/accounting"
19671,"Transaction/Production System"
19680,"Ordering & provisioning system"
19730,"Financial transaction process/accounting"
19757,"Catalogue/register of things or eventsDocument managementOnline analysis and reporting"
19799,"Customer relationship management"
19815,"Corporate Taxation"
19881,"Stock control & order processing"
19885,"not recorded"
19905,"Sales contact management"
20082,
20093,
20106,"Transaction/Production System"
20115,"Customer relationship management"
20123,Unknown
20177,"Transaction/Production System"
20236,Unknown
20352,"not recorded"
20398,
20419,"Billing and ERP"
20477,"Document management"
20538,"not recorded"
20614,
20758,"Online. eSales"
20776,"Online. eSales"
20837,
20887,"not recorded"
20892,"Management of Licences and Permits"
21078,"Data Warehouse"
21107,"Financial transaction process/accounting"
21114,"Financial application area"
21151,"relatively complex application"
21180,Trading
21195,"Stock control & order processing"
21198,Other
21261,"Financial transaction process/accounting"
21317,"not recorded"
21370,Unknown
21394,
21399,"Transaction/Production System"
21420,
21429,"GEO Information Management"
21433,"Data Warehouse"
21467,"Customer relationship management"
21496,"Financial transaction process/accounting"
21522,Unknown
21552,
21609,"relatively complex application"
21623,"Customer relationship management"
21668,"Financial transaction process/accounting"
21775,"relatively complex application"
21824,Unknown
21859,Unknown
21915,"Management Information System"
22063,"Transaction/Production System"
22274,"Job, case, incident, project management"
22342,"Online. eSales"
22361,"Transaction/Production System"
22425,"not recorded"
22465,
22471,"Financial transaction process/accounting"
22495,Integration
22507,"Transaction/Production System"
22638,
22727,"Management of Licences and Permits"
22776,"Customer relationship management"
22886,"relatively complex application"
22893,"Financial application area"
22922,"not recorded"
22951,"Operational CRM"
22957,"Workflow support & management"
23066,"Financial transaction process/accounting"
23110,"Data Warehouse"
23122,"not recorded"
23182,"Customer relationship management"
23317,
23467,"not recorded"
23518,"relatively complex application"
23538,"not recorded"
23559,"Management Information System"
23565,"Financial transaction process/accounting"
23573,
23656,"Management or performance reporting"
23687,"Management or performance reporting"
23698,Maintenance
23708,"Management Information System"
23712,"Telecom & network management"
23741,"not recorded"
23766,
23777,"relatively complex application"
23784,"not recorded"
23972,"not recorded"
24009,"Financial transaction process/accounting"
