pryidapp,apptyp
10003,"Online. eSales"
10019,"Data Warehouse"
10104,"Financial transaction process/accounting"
10267,"Customer relationship management"
10388,"Stock control & order processing"
10496,"Financial transaction process/accounting"
10566,"Financial transaction process/accounting"
10621,"Financial transaction process/accounting"
10632,"Customer relationship management"
10649,"Financial transaction process/accounting"
10667,"Customer relationship management"
10750,"Financial transaction process/accounting"
10896,"Financial transaction process/accounting"
10929,"Financial transaction process/accounting"
10960,Other
10997,"Transaction/Production System"
11044,"Management Information System"
11055,"Financial transaction process/accounting"
11083,"Workflow support & management"
11101,"Financial transaction process/accounting"
11113,"Financial transaction process/accounting"
11132,"Financial application area"
11251,"Customer billing/relationship management"
11339,"Financial transaction process/accounting"
11389,"Financial transaction process/accounting"
11436,"Sales contact management"
11493,"Financial transaction process/accounting"
11527,"Data Warehouse"
11569,"Financial transaction process/accounting"
11714,"Transaction/Production System"
11755,"Financial transaction process/accounting"
11763,"Customer relationship management"
11785,"Data Warehouse"
11993,"Other: Integration"
12019,"Financial transaction process/accounting"
12038,"relatively complex application"
12060,"Inventory Management"
12082,"Financial transaction process/accounting"
12097,"Online. eSales"
12146,"Logistic or supply planning & controlManagement or performance reportingPersonal productivity (e.g. spreadsheet)Workflow support & management"
12152,"Financial transaction process/accounting"
12153,"Call Center Management"
12174,"Decision Support System"
12175,"Financial application area"
12181,"Financial transaction process/accounting"
12202,"Stock control & order processing"
12204,"Financial transaction process/accounting"
12305,"Online. eSales"
12344,Integration
12365,"Management Information System"
12377,"Financial transaction process/accounting"
12410,"Transaction/Production System"
12529,"Financial transaction process/accounting"
12573,"Management system"
12667,"Financial transaction process/accounting"
12684,"Workflow support & management"
12712,"Financial transaction process/accounting"
12728,"Financial transaction process/accounting"
12888,"Data Warehouse"
13137,"Workflow support & management"
13169,"Financial transaction process/accounting"
13217,"Financial transaction process/accounting"
13246,"Financial transaction process/accounting"
13273,"Financial transaction process/accounting"
13303,"Financial transaction process/accounting"
13367,"Voice Provisioning"
13403,"Telecom Data Circuits"
13597,"Financial transaction process/accounting"
13652,"Customer relationship management"
13680,"Financial transaction process/accounting"
13712,"Financial transaction process/accounting"
13795,"Financial transaction process/accounting"
13884,"Financial transaction process/accounting"
13896,"Document management"
13915,"Customer relationship management"
13981,"Sales promotion tool"
14078,"Customer relationship management"
14091,"Customer relationship management"
14157,"Financial transaction process/accounting"
14228,"Transaction/Production System"
14257,Reconciliation
14289,"Catalogue/register of things or eventsProcessing application for public subsidies"
14374,"Financial transaction process/accounting"
14410,"Management of Licences and Permits"
14422,"Financial transaction process/accounting"
14439,"Management of Licences and Permits"
14466,"Financial transaction process/accounting"
14483,"Customer relationship management"
14494,"Financial transaction process/accounting"
14544,"Financial transaction process/accounting"
14712,"Financial transaction process/accounting"
14715,"Online. eSales"
14758,"Financial transaction process/accounting"
14764,"Management Information System"
14780,"Geographic Information System"
14879,"relatively complex application"
14892,"Customer relationship management"
14959,"Customer relationship management"
14968,"Financial transaction process/accounting"
14972,"Sales contact management"
15008,"Financial application area"
15009,"relatively complex application"
15047,"Financial transaction process/accounting"
15123,"Financial transaction process/accounting"
15149,"Customer relationship management"
15197,"Job, case, incident, project management"
15211,"Financial transaction process/accounting"
15240,"Management system"
15351,"Telecom & network management"
15371,"relatively complex application"
15402,"Financial transaction process/accounting"
15409,"Financial transaction process/accounting"
15436,"Financial transaction process/accounting"
15489,Integration
15561,"Financial transaction process/accounting"
15593,"Content Management"
15622,"Financial transaction process/accounting"
15670,"Financial transaction process/accounting"
15689,"Customer relationship management"
15724,"Online. eSales"
15732,"Customer relationship management"
15733,"Financial transaction process/accounting"
15745,"Financial transaction process/accounting"
15823,"Management of Licences and Permits"
15850,"Financial transaction process/accounting"
15947,"Financial transaction process/accounting"
16165,"Management of Licences and Permits"
16185,"Financial transaction process/accounting"
16190,"Management of Licences and Permits"
16191,"Online. eSales"
16196,"Transaction/Production System"
16232,"Financial transaction process/accounting"
16330,"Financial transaction process/accounting"
16431,"Financial transaction process/accounting"
16439,"Financial transaction process/accounting"
16466,"Management or performance reportingComplex process control"
16467,"Financial transaction process/accounting"
16525,Maintenance
16534,"Online. eSales"
16645,"Transaction/Production System"
16682,"Financial transaction process/accounting"
16685,"Office Automation System"
16701,"Financial transaction process/accounting"
16766,"relatively complex application"
16771,Billing
16819,"Financial transaction process/accounting"
16843,"Data or database management"
16875,Reporting
16886,"Financial application area"
16889,"Financial transaction process/accounting"
16932,"Customer relationship management"
16963,"Customer relationship management"
16997,"Financial transaction process/accounting"
17078,"Data Warehouse"
17117,"Financial transaction process/accounting"
17172,"Financial transaction process/accounting"
17184,"Management or performance reporting"
17222,"Financial transaction process/accounting"
17246,"Financial transaction process/accounting"
17279,"Other: Online. eSales"
17287,Local
17308,"Financial transaction process/accounting"
17429,"Financial transaction process/accounting"
17455,"Financial transaction process/accounting"
17498,"Financial transaction process/accounting"
17584,"Financial transaction process/accounting"
17594,"Logistic or supply planning & control"
17603,"Financial transaction process/accounting"
17639,"Transaction/Production System"
17663,"Transaction/Production System"
17743,"Management Information System"
17758,"Financial transaction process/accounting"
17872,"Complex process control"
17903,"Information systems"
17990,"Financial transaction process/accounting"
17995,"Other: Integration"
18012,"Financial transaction process/accounting"
18015,"Financial transaction process/accounting"
18044,"Financial transaction process/accounting"
18088,"Workplace Savings"
18119,IdM
18310,"Financial transaction process/accounting"
18346,"Financial transaction process/accounting"
18361,"Management of Licences and Permits"
18387,"Transaction/Production System"
18410,"Financial transaction process/accounting"
18417,"Customer relationship management"
18427,"Transaction/Production System"
18428,"Online. eSales"
18438,"Financial transaction process/accounting"
18442,"Financial transaction process/accounting"
18459,"Transaction/Production System"
18498,"Customer relationship management"
18638,"MS Business Platform"
18663,"Financial transaction process/accounting"
18697,"Customer relationship management"
18735,"Customer billing"
18746,"Catalogue/register of things or eventsWorkflow support & managementElectronic Data Interchange"
18808,"Customer relationship management"
18890,"Financial transaction process/accounting"
18917,"Financial transaction process/accounting"
18945,"Financial transaction process/accounting"
18961,"Stock control & order processing"
19040,"Financial transaction process/accounting"
19079,"Financial transaction process/accounting"
19114,"Tax system"
19122,Integration
19136,"Financial transaction process/accounting"
19148,"Financial transaction process/accounting"
19154,"Financial transaction process/accounting"
19189,"Logistic or supply planning & control"
19297,"Financial transaction process/accounting"
19303,"Stock control & order processing"
19403,"Financial transaction process/accounting"
19410,"Financial transaction process/accounting"
19456,"Financial transaction process/accounting"
19461,"Financial transaction process/accounting"
19490,"Management Information System"
19491,"Financial transaction process/accounting"
19594,"Financial transaction process/accounting"
19659,"Financial application area"
19660,"Financial transaction process/accounting"
19671,"Transaction/Production System"
19680,"Ordering & provisioning system"
19730,"Financial transaction process/accounting"
19757,"Catalogue/register of things or eventsDocument managementOnline analysis and reporting"
19799,"Customer relationship management"
19815,"Corporate Taxation"
19881,"Stock control & order processing"
19885,"Financial transaction process/accounting"
19905,"Sales contact management"
20082,"Financial transaction process/accounting"
20093,"Financial transaction process/accounting"
20106,"Transaction/Production System"
20115,"Customer relationship management"
20123,"Financial transaction process/accounting"
20177,"Transaction/Production System"
20236,"Financial transaction process/accounting"
20352,"Financial transaction process/accounting"
20398,"Financial transaction process/accounting"
