apptyp,conteoapp
,60
"not recorded",57
"Financial transaction process/accounting",47
"Customer relationship management",33
"Transaction/Production System",24
Unknown,23
"relatively complex application",13
"Online. eSales",12
"Financial application area",12
"Data Warehouse",10
"Management Information System",9
"Stock control & order processing",8
"Management of Licences and Permits",8
"Workflow support & management",5
Integration,5
"Customer billing",4
Other,3
"Sales contact management",3
"Management or performance reporting",3
"Other: Integration",2
"Document management",2
"Telecom & network management",2
"Decision Support System",2
"Management system",2
"Job, case, incident, project management",2
Maintenance,2
"Data or database management",2
Reporting,2
"Logistic or supply planning & control",2
"Complex process control",2
Trading,2
"Catalogue/register of things or eventsProcessing application for public subsidies",1
"Geographic Information System",1
"Content Management",1
"Management or performance reportingComplex process control",1
"Customer billing/relationship management",1
"Office Automation System",1
Billing,1
"Inventory Management",1
"Logistic or supply planning & controlManagement or performance reportingPersonal productivity (e.g. spreadsheet)Workflow support & management",1
"Call Center Management",1
"Other: Online. eSales",1
Local,1
"Voice Provisioning",1
"Telecom Data Circuits",1
"Information systems",1
"Workplace Savings",1
IdM,1
"MS Business Platform",1
"Sales promotion tool",1
"Catalogue/register of things or eventsWorkflow support & managementElectronic Data Interchange",1
"Tax system",1
"Ordering & provisioning system",1
"Catalogue/register of things or eventsDocument managementOnline analysis and reporting",1
"Corporate Taxation",1
"Billing and ERP",1
Reconciliation,1
"GEO Information Management",1
"Operational CRM",1
"Other: Service Order & Activation Management",1
"Number of Hosting Solution",1
"Catalogue/register of things or events",1
"Production management",1
"Artifical Intelligence based engine",1
Transportation,1
"Catalogue/register of things or eventsWorkflow support & management",1
"Inventory Control",1
"Online Insurance product comparision tool",1
