pryidapp,apptyp2,conteo2app
10003,"Online. eSales",12
10019,"Data Warehouse",10
10104,"Financial transaction process/accounting",187
10267,"Customer relationship management",33
10388,"Stock control & order processing",8
10496,"Financial transaction process/accounting",187
10566,"Financial transaction process/accounting",187
10621,"Financial transaction process/accounting",187
10632,"Customer relationship management",33
10649,"Financial transaction process/accounting",187
10667,"Customer relationship management",33
10750,"Financial transaction process/accounting",187
10896,"Financial transaction process/accounting",187
10929,"Financial transaction process/accounting",187
10960,Other,3
10997,"Transaction/Production System",24
11044,"Management Information System",9
11055,"Financial transaction process/accounting",187
11083,"Workflow support & management",5
11101,"Financial transaction process/accounting",187
11113,"Financial transaction process/accounting",187
11132,"Financial application area",12
11251,"Customer billing/relationship management",1
11339,"Financial transaction process/accounting",187
11389,"Financial transaction process/accounting",187
11436,"Sales contact management",3
11493,"Financial transaction process/accounting",187
11527,"Data Warehouse",10
11569,"Financial transaction process/accounting",187
11714,"Transaction/Production System",24
11755,"Financial transaction process/accounting",187
11763,"Customer relationship management",33
11785,"Data Warehouse",10
11993,"Other: Integration",2
12019,"Financial transaction process/accounting",187
12038,"relatively complex application",13
12060,"Inventory Management",1
12082,"Financial transaction process/accounting",187
12097,"Online. eSales",12
12146,"Logistic or supply planning & controlManagement or performance reportingPersonal productivity (e.g. spreadsheet)Workflow support & management",1
12152,"Financial transaction process/accounting",187
12153,"Call Center Management",1
12174,"Decision Support System",2
12175,"Financial application area",12
12181,"Financial transaction process/accounting",187
12202,"Stock control & order processing",8
12204,"Financial transaction process/accounting",187
12305,"Online. eSales",12
12344,Integration,5
12365,"Management Information System",9
12377,"Financial transaction process/accounting",187
12410,"Transaction/Production System",24
12529,"Financial transaction process/accounting",187
12573,"Management system",2
12667,"Financial transaction process/accounting",187
12684,"Workflow support & management",5
12712,"Financial transaction process/accounting",187
12728,"Financial transaction process/accounting",187
12888,"Data Warehouse",10
13137,"Workflow support & management",5
13169,"Financial transaction process/accounting",187
13217,"Financial transaction process/accounting",187
13246,"Financial transaction process/accounting",187
13273,"Financial transaction process/accounting",187
13303,"Financial transaction process/accounting",187
13367,"Voice Provisioning",1
13403,"Telecom Data Circuits",1
13597,"Financial transaction process/accounting",187
13652,"Customer relationship management",33
13680,"Financial transaction process/accounting",187
13712,"Financial transaction process/accounting",187
13795,"Financial transaction process/accounting",187
13884,"Financial transaction process/accounting",187
13896,"Document management",2
13915,"Customer relationship management",33
13981,"Sales promotion tool",1
14078,"Customer relationship management",33
14091,"Customer relationship management",33
14157,"Financial transaction process/accounting",187
14228,"Transaction/Production System",24
14257,Reconciliation,1
14289,"Catalogue/register of things or eventsProcessing application for public subsidies",1
14374,"Financial transaction process/accounting",187
14410,"Management of Licences and Permits",8
14422,"Financial transaction process/accounting",187
14439,"Management of Licences and Permits",8
14466,"Financial transaction process/accounting",187
14483,"Customer relationship management",33
14494,"Financial transaction process/accounting",187
14544,"Financial transaction process/accounting",187
14712,"Financial transaction process/accounting",187
14715,"Online. eSales",12
14758,"Financial transaction process/accounting",187
14764,"Management Information System",9
14780,"Geographic Information System",1
14879,"relatively complex application",13
14892,"Customer relationship management",33
14959,"Customer relationship management",33
14968,"Financial transaction process/accounting",187
14972,"Sales contact management",3
15008,"Financial application area",12
15009,"relatively complex application",13
15047,"Financial transaction process/accounting",187
15123,"Financial transaction process/accounting",187
15149,"Customer relationship management",33
15197,"Job, case, incident, project management",2
15211,"Financial transaction process/accounting",187
15240,"Management system",2
15351,"Telecom & network management",2
15371,"relatively complex application",13
15402,"Financial transaction process/accounting",187
15409,"Financial transaction process/accounting",187
15436,"Financial transaction process/accounting",187
15489,Integration,5
15561,"Financial transaction process/accounting",187
15593,"Content Management",1
15622,"Financial transaction process/accounting",187
15670,"Financial transaction process/accounting",187
15689,"Customer relationship management",33
15724,"Online. eSales",12
15732,"Customer relationship management",33
15733,"Financial transaction process/accounting",187
15745,"Financial transaction process/accounting",187
15823,"Management of Licences and Permits",8
15850,"Financial transaction process/accounting",187
15947,"Financial transaction process/accounting",187
16165,"Management of Licences and Permits",8
16185,"Financial transaction process/accounting",187
16190,"Management of Licences and Permits",8
16191,"Online. eSales",12
