pryiddvlplt,dvlplt2,conteo2dvlplt
10003,Multi,281
10019,Multi,281
10104,Multi,281
10267,Multi,281
10388,Multi,281
10496,Multi,281
10566,MR,18
10621,MF,78
10632,Multi,281
10649,Multi,281
10667,Multi,281
10750,Multi,281
10896,Multi,281
10929,Multi,281
10960,Multi,281
10997,MF,78
11044,MF,78
11055,MR,18
11083,Multi,281
11101,Multi,281
11113,MR,18
11132,Multi,281
11251,Multi,281
11339,Multi,281
11389,Multi,281
11436,MR,18
11493,Multi,281
11527,Multi,281
11569,Multi,281
11714,MF,78
11755,PC,23
11763,Multi,281
11785,Multi,281
11993,Multi,281
12019,Multi,281
12038,MF,78
12060,PC,23
12082,MF,78
12097,Multi,281
12146,Multi,281
12152,Multi,281
12153,PC,23
12174,PC,23
12175,Multi,281
12181,Multi,281
12202,Multi,281
12204,Multi,281
12305,Multi,281
12344,Multi,281
12365,MR,18
12377,MF,78
12410,MR,18
12529,MF,78
12573,PC,23
12667,MR,18
12684,Multi,281
12712,Multi,281
12728,Multi,281
12888,Multi,281
13137,Multi,281
13169,Multi,281
13217,Multi,281
13246,MF,78
13273,Multi,281
13303,Multi,281
13367,Multi,281
13403,MF,78
13597,MR,18
13652,Multi,281
13680,MF,78
13712,Multi,281
13795,Multi,281
13884,Multi,281
13896,PC,23
13915,Multi,281
13981,PC,23
14078,Multi,281
14091,Multi,281
14157,PC,23
14228,Multi,281
14257,MF,78
14289,Multi,281
14374,MF,78
14410,MF,78
14422,Multi,281
14439,MF,78
14466,Multi,281
14483,Multi,281
14494,Multi,281
14544,Multi,281
14712,Multi,281
14715,Multi,281
14758,Multi,281
14764,MF,78
14780,Multi,281
14879,MF,78
14892,Multi,281
14959,Multi,281
14968,Multi,281
14972,MF,78
15008,Multi,281
15009,Multi,281
15047,MF,78
15123,MR,18
15149,Multi,281
15197,PC,23
15211,Multi,281
15240,MF,78
15351,Multi,281
15371,Multi,281
15402,Multi,281
15409,Multi,281
15436,Multi,281
15489,Multi,281
15561,MF,78
15593,Multi,281
15622,Multi,281
15670,Multi,281
15689,Multi,281
15724,Multi,281
15732,Multi,281
15733,Multi,281
15745,Multi,281
15823,MF,78
15850,Multi,281
15947,Multi,281
16165,MF,78
16185,MF,78
16190,MF,78
16191,Multi,281
16196,MF,78
16232,Multi,281
16330,Multi,281
16431,Multi,281
16439,Multi,281
16466,PC,23
16467,Multi,281
16525,MF,78
16534,Multi,281
16645,MR,18
16682,Multi,281
16685,PC,23
16701,MF,78
16766,Multi,281
16771,Multi,281
16819,Multi,281
16843,Multi,281
16875,MF,78
16886,Multi,281
16889,PC,23
16932,Multi,281
16963,Multi,281
16997,MF,78
17078,Multi,281
17117,Multi,281
17172,Multi,281
17184,Multi,281
17222,Multi,281
17246,MF,78
17279,Multi,281
17287,Multi,281
17308,Multi,281
17429,Multi,281
17455,Multi,281
17498,Multi,281
17584,Multi,281
17594,Multi,281
