pryiddvlplt,conteo2dvlplt
10003,281
10019,281
10104,281
10267,281
10388,281
10496,281
10566,18
10621,78
10632,281
10649,281
10667,281
10750,281
10896,281
10929,281
10960,281
10997,78
11044,78
11055,18
11083,281
11101,281
11113,18
11132,281
11251,281
11339,281
11389,281
11436,18
11493,281
11527,281
11569,281
11714,78
11755,23
11763,281
11785,281
11993,281
12019,281
12038,78
12060,23
12082,78
12097,281
12146,281
12152,281
12153,23
12174,23
12175,281
12181,281
12202,281
12204,281
12305,281
12344,281
12365,18
12377,78
12410,18
12529,78
12573,23
12667,18
12684,281
12712,281
12728,281
12888,281
13137,281
13169,281
13217,281
13246,78
13273,281
13303,281
13367,281
13403,78
13597,18
13652,281
13680,78
13712,281
13795,281
13884,281
13896,23
13915,281
13981,23
14078,281
14091,281
14157,23
14228,281
14257,78
14289,281
14374,78
14410,78
14422,281
14439,78
14466,281
14483,281
14494,281
14544,281
14712,281
14715,281
14758,281
14764,78
14780,281
14879,78
14892,281
14959,281
14968,281
14972,78
15008,281
15009,281
15047,78
15123,18
15149,281
15197,23
15211,281
15240,78
15351,281
15371,281
15402,281
15409,281
15436,281
15489,281
15561,78
15593,281
15622,281
15670,281
15689,281
15724,281
15732,281
15733,281
15745,281
15823,78
15850,281
15947,281
16165,78
16185,78
16190,78
16191,281
16196,78
16232,281
16330,281
16431,281
16439,281
16466,23
16467,281
16525,78
16534,281
16645,18
16682,281
16685,23
16701,78
16766,281
16771,281
16819,281
16843,281
16875,78
16886,281
16889,23
16932,281
16963,281
16997,78
17078,281
17117,281
17172,281
17184,281
17222,281
17246,78
17279,281
17287,281
17308,281
17429,281
17455,281
17498,281
17584,281
17594,281
17603,281
17639,18
17663,281
17743,78
17758,281
17872,78
17903,78
17990,281
17995,281
18012,281
18015,281
18044,281
18088,281
18119,281
18310,281
18346,281
18361,281
18387,23
18410,281
18417,281
18427,78
18428,281
18438,78
18442,78
18459,78
18498,281
18638,281
18663,281
18697,281
18735,281
18746,281
18808,281
18890,281
18917,281
18945,78
18961,281
19040,281
19079,281
19114,281
19122,281
19136,281
19148,281
19154,78
19189,281
19297,281
19303,78
19403,281
19410,78
19456,281
19461,281
19490,281
19491,281
19594,281
19659,281
19660,78
19671,78
19680,78
19730,23
19757,281
19799,281
19815,78
19881,281
19885,281
19905,23
20082,281
20093,78
20106,78
20115,281
20123,281
20177,18
20236,281
20352,281
20398,281
20419,281
20477,281
20538,281
20614,281
20758,281
20776,281
20837,281
20887,281
20892,78
21078,281
21107,281
21114,281
21151,281
21180,23
21195,281
21198,281
21261,78
21317,281
21370,281
21394,281
21399,281
21420,281
21429,281
21433,281
21467,281
21496,78
21522,281
21552,281
21609,281
21623,281
21668,281
21775,78
21824,281
21859,281
21915,78
22063,78
22274,281
22342,281
22361,281
22425,281
22465,281
22471,78
22495,281
22507,78
22638,281
22727,78
22776,281
22886,281
22893,281
22922,281
22951,281
22957,281
23066,78
23110,281
23122,281
23182,281
23317,23
23467,281
23518,281
23538,281
23559,78
23565,281
23573,281
23656,281
23687,18
23698,78
23708,23
23712,18
23741,281
23766,281
23777,78
23784,281
23972,281
24009,78
24042,78
24043,281
24125,78
24135,281
24141,281
24151,78
24210,281
24366,281
24407,281
24457,281
24505,281
24543,281
24573,281
24615,281
24629,281
24633,78
24661,281
24851,281
24866,281
24889,281
24937,23
25053,281
25120,281
25126,281
25151,281
25158,281
25213,281
25268,281
25270,281
25310,281
25336,78
25343,281
25346,281
25438,281
25461,281
25509,281
25516,281
25543,23
25618,281
25641,23
25786,281
25885,78
25916,23
25926,78
25931,23
25975,78
25979,78
26007,281
26047,281
26096,78
26105,281
26137,281
26156,281
26187,281
26199,78
26274,281
26284,78
26290,281
26315,281
26339,78
26391,281
26457,281
26470,281
26513,281
26537,78
26575,281
26604,281
26738,281
26765,18
26888,281
26895,18
26925,281
26994,78
26997,18
27060,78
27151,281
27171,281
27245,281
27357,18
27361,281
27423,281
27574,281
27727,281
27743,281
27745,281
27858,281
