pryiddvlplt,dvlplt
10003,Multi
10019,Multi
10104,
10267,
10388,Multi
10496,
10566,MR
10621,MF
10632,
10649,
10667,
10750,
10896,
10929,
10960,
10997,MF
11044,MF
11055,MR
11083,Multi
11101,
11113,MR
11132,Multi
11251,Multi
11339,
11389,
11436,MR
11493,
11527,Multi
11569,Multi
11714,MF
11755,PC
11763,Multi
11785,Multi
11993,
12019,
12038,MF
12060,PC
12082,MF
12097,Multi
12146,Multi
12152,
12153,PC
12174,PC
12175,Multi
12181,
12202,Multi
12204,Multi
12305,Multi
12344,Multi
12365,MR
12377,MF
12410,MR
12529,MF
12573,PC
12667,MR
12684,Multi
12712,
12728,
12888,
13137,Multi
13169,
13217,
13246,MF
13273,
13303,Multi
13367,
13403,MF
13597,MR
13652,
13680,MF
13712,
13795,
13884,
13896,PC
13915,
13981,PC
14078,Multi
14091,
14157,PC
14228,
14257,MF
14289,Multi
14374,MF
14410,MF
14422,
14439,MF
14466,
14483,Multi
14494,
14544,
14712,Multi
14715,Multi
14758,Multi
14764,MF
14780,Multi
14879,MF
14892,
14959,
14968,
14972,MF
15008,Multi
15009,Multi
15047,MF
15123,MR
15149,Multi
15197,PC
15211,
15240,MF
15351,
15371,Multi
15402,
15409,
15436,
15489,
15561,MF
15593,
15622,
15670,
15689,
15724,Multi
15732,
15733,
15745,
15823,MF
15850,
15947,
16165,MF
16185,MF
16190,MF
16191,Multi
16196,MF
16232,
16330,
16431,
16439,
16466,PC
16467,
16525,MF
16534,Multi
16645,MR
16682,Multi
16685,PC
16701,MF
16766,Multi
16771,
16819,
16843,
16875,MF
16886,Multi
16889,PC
16932,Multi
16963,Multi
16997,MF
17078,Multi
17117,
17172,
17184,Multi
17222,
17246,MF
17279,
17287,
17308,
17429,
17455,
17498,
17584,
17594,Multi
17603,
17639,MR
17663,
17743,MF
17758,
17872,MF
17903,MF
17990,
17995,
18012,
18015,
18044,
18088,Multi
18119,Multi
18310,
18346,
18361,Multi
18387,PC
18410,
18417,Multi
18427,MF
18428,Multi
18438,MF
18442,MF
18459,MF
18498,
18638,
18663,
18697,
18735,
18746,Multi
18808,Multi
18890,
18917,
18945,MF
18961,Multi
19040,
19079,
19114,Multi
19122,Multi
19136,
19148,
19154,MF
19189,Multi
19297,
19303,MF
19403,
19410,MF
19456,Multi
19461,
19490,
19491,
19594,
19659,Multi
19660,MF
19671,MF
19680,MF
19730,PC
19757,Multi
19799,
19815,MF
19881,
19885,
19905,PC
20082,
20093,MF
20106,MF
20115,Multi
20123,
20177,MR
20236,
20352,
20398,
20419,Multi
20477,Multi
20538,
20614,Multi
20758,Multi
20776,Multi
20837,
20887,
20892,MF
21078,
21107,Multi
21114,Multi
21151,Multi
21180,PC
21195,Multi
21198,
21261,MF
21317,
21370,
21394,
21399,
21420,
21429,Multi
21433,
21467,
21496,MF
21522,
21552,
21609,Multi
21623,Multi
21668,Multi
21775,MF
21824,
21859,
21915,MF
22063,MF
22274,Multi
22342,Multi
22361,
22425,
22465,Multi
22471,MF
22495,
22507,MF
22638,
22727,MF
22776,Multi
22886,Multi
22893,Multi
22922,
22951,
22957,Multi
23066,MF
23110,Multi
23122,
23182,
23317,PC
23467,
23518,Multi
23538,
23559,MF
23565,
23573,
23656,Multi
23687,MR
23698,MF
23708,PC
23712,MR
23741,
23766,
23777,MF
23784,
23972,
24009,MF
24042,MF
24043,Multi
24125,MF
24135,Multi
24141,
24151,MF
24210,
24366,
24407,Multi
24457,
24505,
24543,
24573,Multi
24615,
24629,
24633,MF
24661,
24851,
24866,
24889,
24937,PC
25053,
25120,Multi
25126,
25151,
25158,
25213,
25268,
25270,
25310,Multi
25336,MF
25343,
25346,
25438,
25461,
25509,Multi
25516,
25543,PC
25618,Multi
25641,PC
25786,Multi
25885,MF
25916,PC
25926,MF
25931,PC
25975,MF
25979,MF
26007,
26047,
26096,MF
26105,
26137,
26156,Multi
26187,Multi
26199,MF
26274,Multi
26284,MF
26290,
26315,
26339,MF
26391,
26457,
26470,Multi
26513,Multi
26537,MF
26575,
26604,
26738,
26765,MR
26888,
26895,MR
26925,
26994,MF
26997,MR
27060,MF
27151,Multi
27171,Multi
27245,
27357,MR
27361,
27423,
27574,
27727,
27743,
27745,
27858,
