pryidlngtyp,conteo2lngtyp
10003,330
10019,330
10104,61
10267,61
10388,61
10496,330
10566,61
10621,330
10632,330
10649,61
10667,61
10750,330
10896,330
10929,330
10960,330
10997,330
11044,330
11055,330
11083,61
11101,61
11113,61
11132,330
11251,330
11339,330
11389,330
11436,330
11493,330
11527,330
11569,61
11714,9
11755,61
11763,330
11785,330
11993,330
12019,330
12038,330
12060,61
12082,61
12097,330
12146,61
12152,330
12153,61
12174,330
12175,330
12181,330
12202,330
12204,330
12305,330
12344,330
12365,61
12377,330
12410,61
12529,61
12573,330
12667,330
12684,330
12712,330
12728,330
12888,330
13137,330
13169,330
13217,330
13246,330
13273,330
13303,330
13367,330
13403,330
13597,330
13652,61
13680,330
13712,330
13795,61
13884,330
13896,330
13915,330
13981,330
14078,330
14091,61
14157,330
14228,330
14257,330
14289,330
14374,330
14410,9
14422,330
14439,9
14466,61
14483,330
14494,330
14544,330
14712,330
14715,330
14758,330
14764,330
14780,330
14879,330
14892,330
14959,61
14968,330
14972,330
15008,330
15009,330
15047,61
15123,330
15149,330
15197,330
15211,330
15240,330
15351,330
15371,330
15402,330
15409,330
15436,61
15489,330
15561,330
15593,330
15622,330
15670,330
15689,61
15724,330
15732,330
15733,330
15745,330
15823,9
15850,330
15947,330
16165,9
16185,61
16190,9
16191,330
16196,330
16232,330
16330,330
16431,330
16439,330
16466,330
16467,61
16525,330
16534,330
16645,61
16682,61
16685,330
16701,330
16766,330
16771,330
16819,330
16843,330
16875,330
16886,330
16889,330
16932,330
16963,330
16997,330
17078,330
17117,61
17172,61
17184,330
17222,330
17246,330
17279,61
17287,330
17308,330
17429,330
17455,330
17498,330
17584,330
17594,61
17603,330
17639,61
17663,330
17743,330
17758,330
17872,330
17903,330
17990,330
17995,330
18012,330
18015,330
18044,330
18088,330
18119,330
18310,330
18346,330
18361,330
18387,330
18410,330
18417,330
18427,330
18428,330
18438,330
18442,330
18459,330
18498,330
18638,330
18663,330
18697,61
18735,330
18746,330
18808,330
18890,330
18917,61
18945,330
18961,330
19040,330
19079,330
19114,330
19122,330
19136,330
19148,330
19154,330
19189,330
19297,330
19303,330
19403,330
19410,330
19456,330
19461,330
19490,330
19491,330
19594,61
19659,330
19660,330
19671,330
19680,330
19730,61
19757,330
19799,330
19815,330
19881,330
19885,330
19905,330
20082,61
20093,330
20106,330
20115,330
20123,330
20177,330
20236,330
20352,330
20398,61
20419,330
20477,330
20538,330
20614,330
20758,330
20776,330
20837,330
20887,330
20892,9
21078,61
21107,330
21114,330
21151,330
21180,330
21195,330
21198,330
21261,330
21317,330
21370,330
21394,330
21399,61
21420,330
21429,330
21433,330
21467,61
21496,330
21522,330
21552,61
21609,61
21623,330
21668,61
21775,330
21824,330
21859,61
21915,330
22063,330
22274,330
22342,330
22361,330
22425,330
22465,61
22471,330
22495,330
22507,330
22638,330
22727,9
22776,330
22886,61
22893,61
22922,330
22951,330
22957,330
23066,330
23110,330
23122,330
23182,330
23317,330
23467,330
23518,61
23538,330
23559,330
23565,330
23573,330
23656,330
23687,61
23698,330
23708,61
23712,330
23741,330
23766,330
23777,330
23784,330
23972,330
24009,330
24042,330
24043,330
24125,330
24135,330
24141,330
24151,330
24210,330
24366,330
24407,61
24457,330
24505,330
24543,330
24573,330
24615,330
24629,330
24633,330
24661,330
24851,330
24866,330
24889,330
24937,330
25053,330
25120,330
25126,61
25151,330
25158,330
25213,330
25268,330
25270,330
25310,330
25336,330
25343,330
25346,330
25438,330
25461,330
25509,330
25516,330
25543,61
25618,330
25641,61
25786,330
25885,330
25916,330
25926,330
25931,330
25975,61
25979,330
26007,330
26047,330
26096,330
26105,330
26137,330
26156,330
26187,330
26199,330
26274,330
26284,330
26290,330
26315,330
26339,9
26391,330
26457,330
26470,330
26513,330
26537,330
26575,330
26604,330
26738,330
26765,330
26888,330
26895,330
26925,330
26994,330
26997,61
27060,330
27151,330
27171,61
27245,330
27357,330
27361,330
27423,330
27574,330
27727,330
27743,330
27745,330
27858,330
