pryidlngtyp,lngtyp2,conteo2lngtyp
10003,3GL,330
10019,3GL,330
10104,4GL,61
10267,4GL,61
10388,4GL,61
10496,3GL,330
10566,4GL,61
10621,3GL,330
10632,3GL,330
10649,4GL,61
10667,4GL,61
10750,3GL,330
10896,3GL,330
10929,3GL,330
10960,3GL,330
10997,3GL,330
11044,3GL,330
11055,3GL,330
11083,4GL,61
11101,4GL,61
11113,4GL,61
11132,3GL,330
11251,3GL,330
11339,3GL,330
11389,3GL,330
11436,3GL,330
11493,3GL,330
11527,3GL,330
11569,4GL,61
11714,ApG,9
11755,4GL,61
11763,3GL,330
11785,3GL,330
11993,3GL,330
12019,3GL,330
12038,3GL,330
12060,4GL,61
12082,4GL,61
12097,3GL,330
12146,4GL,61
12152,3GL,330
12153,4GL,61
12174,3GL,330
12175,3GL,330
12181,3GL,330
12202,3GL,330
12204,3GL,330
12305,3GL,330
12344,3GL,330
12365,4GL,61
12377,3GL,330
12410,4GL,61
12529,4GL,61
12573,3GL,330
12667,3GL,330
12684,3GL,330
12712,3GL,330
12728,3GL,330
12888,3GL,330
13137,3GL,330
13169,3GL,330
13217,3GL,330
13246,3GL,330
13273,3GL,330
13303,3GL,330
13367,3GL,330
13403,3GL,330
13597,3GL,330
13652,4GL,61
13680,3GL,330
13712,3GL,330
13795,4GL,61
13884,3GL,330
13896,3GL,330
13915,3GL,330
13981,3GL,330
14078,3GL,330
14091,4GL,61
14157,3GL,330
14228,3GL,330
14257,3GL,330
14289,3GL,330
14374,3GL,330
14410,ApG,9
14422,3GL,330
14439,ApG,9
14466,4GL,61
14483,3GL,330
14494,3GL,330
14544,3GL,330
14712,3GL,330
14715,3GL,330
14758,3GL,330
14764,3GL,330
14780,3GL,330
14879,3GL,330
14892,3GL,330
14959,4GL,61
14968,3GL,330
14972,3GL,330
15008,3GL,330
15009,3GL,330
15047,4GL,61
15123,3GL,330
15149,3GL,330
15197,3GL,330
15211,3GL,330
15240,3GL,330
