pryidprglng,conteo2prglng
10003,177
10019,5
10104,12
10267,8
10388,3
10496,177
10566,7
10621,1
10632,177
10649,12
10667,8
10750,177
10896,5
10929,177
10960,177
10997,34
11044,34
11055,10
11083,3
11101,1
11113,1
11132,177
11251,10
11339,177
11389,1
11436,13
11493,177
11527,5
11569,3
11714,2
11755,3
11763,19
11785,5
11993,177
12019,177
12038,177
12060,2
12082,1
12097,177
12146,3
12152,177
12153,2
12174,19
12175,177
12181,177
12202,13
12204,19
12305,177
12344,6
12365,12
12377,16
12410,7
12529,12
12573,19
12667,11
12684,177
12712,177
12728,177
12888,19
13137,177
13169,177
13217,1
13246,34
13273,177
13303,19
13367,11
13403,11
13597,1
13652,8
13680,13
13712,177
13795,12
13884,177
13896,19
13915,177
13981,19
14078,177
14091,8
14157,34
14228,34
14257,16
14289,10
14374,16
14410,7
14422,177
14439,7
14466,4
14483,19
14494,177
14544,177
14712,19
14715,177
14758,19
14764,34
14780,177
14879,177
14892,177
14959,8
14968,177
14972,34
15008,177
15009,177
15047,3
15123,177
15149,177
15197,10
15211,177
15240,16
15351,13
15371,177
15402,19
15409,177
15436,4
15489,6
15561,2
15593,177
15622,177
15670,19
15689,8
15724,177
15732,177
15733,177
15745,177
15823,7
15850,177
15947,177
16165,7
16185,12
16190,7
16191,177
16196,34
16232,177
16330,5
16431,177
16439,177
16466,19
16467,7
16525,11
16534,177
16645,12
16682,7
16685,11
16701,16
16766,177
16771,11
16819,177
16843,2
16875,34
16886,177
16889,177
16932,177
16963,19
16997,34
17078,5
17117,4
17172,1
17184,10
17222,177
17246,34
17279,1
17287,34
17308,177
17429,177
17455,177
17498,177
17584,177
17594,7
17603,177
17639,12
17663,34
17743,34
17758,11
17872,34
17903,177
17990,177
17995,177
18012,5
18015,1
18044,177
18088,177
18119,10
18310,177
18346,177
18361,177
18387,6
18410,34
18417,177
18427,177
18428,177
18438,16
18442,3
18459,177
18498,177
18638,34
18663,177
18697,8
18735,19
18746,10
18808,19
18890,177
18917,3
18945,2
18961,177
19040,177
19079,177
19114,10
19122,6
19136,177
19148,13
19154,34
19189,177
19297,177
19303,13
19403,177
19410,16
19456,19
19461,177
19490,11
19491,13
19594,12
19659,177
19660,3
19671,34
19680,13
19730,1
19757,177
19799,177
19815,16
19881,34
19885,177
19905,13
20082,4
20093,16
20106,34
20115,177
20123,177
20177,1
20236,177
20352,177
20398,12
20419,177
20477,19
20538,177
20614,177
20758,177
20776,177
20837,13
20887,177
20892,7
21078,12
21107,16
21114,177
21151,177
21180,19
21195,177
21198,1
21261,34
21317,177
21370,177
21394,177
21399,4
21420,19
21429,177
21433,19
21467,8
21496,16
21522,177
21552,4
21609,177
21623,19
21668,3
21775,177
21824,177
21859,4
21915,16
22063,16
22274,16
22342,177
22361,34
22425,177
22465,2
22471,19
22495,6
22507,34
22638,3
22727,7
22776,177
22886,177
22893,177
22922,177
22951,177
22957,1
23066,1
23110,5
23122,177
23182,2
23317,19
23467,177
23518,177
23538,177
23559,177
23565,177
23573,177
23656,177
23687,1
23698,11
23708,12
23712,13
23741,177
23766,5
23777,177
23784,177
23972,177
24009,34
24042,177
24043,177
24125,34
24135,177
24141,19
24151,177
24210,19
24366,34
24407,2
24457,177
24505,19
24543,177
24573,6
24615,177
24629,34
24633,177
24661,5
24851,177
24866,177
24889,177
24937,34
25053,177
25120,16
25126,4
25151,177
25158,177
25213,177
25268,177
25270,1
25310,177
25336,13
25343,13
25346,177
25438,2
25461,177
25509,177
25516,19
25543,3
25618,10
25641,7
25786,177
25885,16
25916,11
25926,34
25931,177
25975,7
25979,177
26007,177
26047,177
26096,34
26105,177
26137,177
26156,10
26187,19
26199,177
26274,177
26284,34
26290,177
26315,177
26339,2
26391,19
26457,177
26470,19
26513,19
26537,34
26575,19
26604,177
26738,177
26765,177
26888,19
26895,11
26925,177
26994,34
26997,1
27060,177
27151,19
27171,177
27245,177
27357,177
27361,2
27423,19
27574,177
27727,1
27743,177
27745,177
27858,19
