pryidprglng,prglng1
10003,Java
10019,Shell
10104,Oracle
10267,"Amdocs framework"
10388,ASP.Net
10496,Java
10566,SQL
10621,RPG
10632,Java
10649,Oracle
10667,"Amdocs framework"
10750,Java
10896,Mixed
10929,Java
10960,Java
10997,COBOL
11044,COBOL
11055,C#
11083,ABAP
11101,"Visual C++"
11113,ColdFusion
11132,Java
11251,C#
11339,Java
11389,Groovy
11436,C
11493,Java
11527,Shell
11569,ABAP
11714,TELON
11755,ABAP
11763,PL/SQL
11785,Shell
11993,Java
12019,Java
12038,Java
12060,DELPHI
12082,EASYTRIEVE
12097,Java
12146,PowerBuilder
12152,Java
12153,DELPHI
12174,"Visual Basic"
12175,Java
12181,Java
12202,C
12204,"Visual Basic"
12305,Java
12344,TIBCO
12365,Oracle
12377,PL/I
12410,SQL
12529,Oracle
12573,PL/SQL
12667,C++
12684,Java
12712,Java
12728,Java
12888,PL/SQL
13137,Java
13169,Java
13217,JavaScript
13246,COBOL
13273,Java
13303,"Visual Basic"
13367,C++
13403,C++
13597,APPS
13652,"Amdocs framework"
13680,C
13712,Java
13795,Oracle
13884,Java
13896,PL/SQL
13915,Java
13981,"Visual Basic"
14078,Java
14091,"Amdocs framework"
14157,COBOL
14228,COBOL
14257,PL/I
14289,C#
14374,PL/I
14410,COOL:Gen
14422,Java
14439,COOL:Gen
14466,NATURAL
14483,PL/SQL
14494,Java
14544,Java
14712,"Visual Basic"
14715,Java
14758,"Visual Basic"
14764,COBOL
14780,Java
14879,Java
14892,Java
14959,"Amdocs framework"
14968,Java
14972,COBOL
15008,Java
15009,Java
15047,PowerBuilder
15123,Java
15149,Java
15197,C#
15211,Java
15240,PL/I
15351,C
15371,Java
15402,"Visual Basic"
15409,Java
15436,.Net
15489,TIBCO
15561,"Shell, C"
15593,Java
15622,Java
15670,PL/SQL
15689,"Amdocs framework"
15724,Java
15732,Java
15733,Java
15745,Java
15823,COOL:Gen
15850,Java
15947,Java
16165,COOL:Gen
16185,Oracle
16190,COOL:Gen
16191,Java
16196,COBOL
16232,Java
16330,Mixed
16431,Java
16439,Java
16466,"Visual Basic"
16467,SQL
16525,C++
16534,Java
16645,Oracle
16682,SQL
16685,C++
16701,PL/I
16766,Java
16771,C++
16819,Java
16843,Unknown
16875,COBOL
16886,Java
16889,Java
16932,Java
16963,"Visual Basic"
16997,COBOL
17078,Shell
17117,NATURAL
17172,"Visual Fox"
17184,C#
17222,Java
17246,COBOL
17279,"html / jsp"
17287,COBOL
17308,Java
17429,Java
17455,Java
17498,Java
17584,Java
17594,SQL
17603,Java
17639,Oracle
17663,COBOL
17743,COBOL
17758,C++
17872,COBOL
17903,Java
17990,Java
17995,Java
18012,Mixed
18015,LISP
18044,Java
18088,Java
18119,C#
18310,Java
18346,Java
18361,Java
18387,TIBCO
18410,COBOL
18417,Java
18427,Java
18428,Java
18438,PL/I
18442,"Unix Shell"
18459,Java
18498,Java
18638,COBOL
18663,Java
18697,"Amdocs framework"
18735,PL/SQL
18746,C#
18808,"Visual Basic"
18890,Java
18917,ASP.Net
18945,"Shell, C"
18961,Java
19040,Java
19079,Java
19114,C#
19122,TIBCO
19136,Java
19148,C
19154,COBOL
19189,Java
19297,Java
19303,C
19403,Java
19410,PL/I
19456,"Visual Basic"
19461,Java
19490,C++
19491,C
19594,Oracle
19659,Java
19660,"Unix Shell"
19671,COBOL
19680,C
19730,ASP
19757,Java
19799,Java
19815,PL/I
19881,COBOL
19885,Java
19905,C
20082,.Net
20093,PL/I
20106,COBOL
20115,Java
20123,Java
20177,LEX
20236,Java
20352,Java
20398,Oracle
20419,Java
20477,"Visual Basic"
20538,Java
20614,Java
20758,Java
20776,Java
20837,C
20887,Java
20892,COOL:Gen
21078,Oracle
21107,PL/I
21114,Java
21151,Java
21180,"Visual Basic"
21195,Java
21198,PYTHON
21261,COBOL
21317,Java
21370,Java
21394,Java
21399,NATURAL
21420,"Visual Basic"
21429,Java
21433,PL/SQL
21467,"Amdocs framework"
21496,PL/I
21522,Java
21552,.Net
21609,Java
21623,PL/SQL
21668,PowerBuilder
21775,Java
21824,Java
21859,NATURAL
21915,PL/I
22063,PL/I
22274,PL/I
22342,Java
22361,COBOL
22425,Java
22465,"Lotus Notes"
22471,"Visual Basic"
22495,TIBCO
22507,COBOL
22638,"Unix Shell"
22727,COOL:Gen
22776,Java
22886,Java
22893,Java
22922,Java
22951,Java
22957,BPM
23066,MAPPER
23110,Shell
23122,Java
23182,ClearBasic
23317,"Visual Basic"
23467,Java
23518,Java
23538,Java
23559,Java
23565,Java
23573,Java
23656,Java
23687,Datastage
23698,C++
23708,Oracle
23712,C
23741,Java
23766,Mixed
23777,Java
23784,Java
23972,Java
24009,COBOL
24042,Java
24043,Java
24125,COBOL
24135,Java
24141,PL/SQL
24151,Java
24210,PL/SQL
24366,COBOL
24407,"Lotus Notes"
24457,Java
24505,PL/SQL
24543,Java
24573,TIBCO
24615,Java
24629,COBOL
24633,Java
24661,Mixed
24851,Java
24866,Java
24889,Java
24937,COBOL
25053,Java
25120,PL/I
25126,.Net
25151,Java
25158,Java
25213,Java
25268,Java
25270,PASCAL
25310,Java
25336,C
25343,C
25346,Java
25438,ClearBasic
25461,Java
25509,Java
25516,PL/SQL
25543,ASP.Net
25618,C#
25641,SQL
25786,Java
25885,PL/I
25916,C++
25926,COBOL
25931,Java
25975,SQL
25979,Java
26007,Java
26047,Java
26096,COBOL
26105,Java
26137,Java
26156,C#
26187,"Visual Basic"
26199,Java
26274,Java
26284,COBOL
26290,Java
26315,Java
26339,TELON
26391,PL/SQL
26457,Java
26470,"Visual Basic"
26513,"Visual Basic"
26537,COBOL
26575,PL/SQL
26604,Java
26738,Java
26765,Java
26888,PL/SQL
26895,C++
26925,Java
26994,COBOL
26997,XML
27060,Java
27151,PL/SQL
27171,Java
27245,Java
27357,Java
27361,Unknown
27423,PL/SQL
27574,Java
27727,PERIPHONICS
27743,Java
27745,Java
27858,PL/SQL
