pryiddbms1,dbms1
10003,
10019,
10104,
10267,
10388,
10496,
10566,Oracle
10621,RDB400
10632,
10649,
10667,
10750,
10896,
10929,
10960,
10997,IMS
11044,IMS
11055,
11083,DB2
11101,
11113,"SQL Server"
11132,Interactive
11251,DB2
11339,
11389,
11436,Oracle
11493,
11527,
11569,
11714,IMS
11755,Oracle
11763,
11785,
11993,
12019,
12038,Batch
12060,
12082,DATACOM
12097,
12146,Oracle
12152,
12153,
12174,Oracle
12175,Interactive
12181,
12202,Oracle
12204,"Oracle 7.3.3"
12305,
12344,
12365,Oracle
12377,DB2
12410,Oracle
12529,Interactive
12573,Oracle
12667,HIRDB
12684,
12712,
12728,
12888,
13137,
13169,
13217,Interactive
13246,IMS
13273,
13303,No
13367,
13403,Oracle
13597,"Oracle 8"
13652,
13680,Interactive
13712,
13795,
13884,
13896,"Oracle 8.1.6"
13915,
13981,"SQL Server"
14078,
14091,
14157,No
14228,
14257,IMS
14289,No
14374,DB2
14410,
14422,
14439,
14466,
14483,
14494,
14544,
14712,ISAM
14715,
14758,DB2/400
14764,IMS
14780,
14879,Interactive
14892,
14959,
14968,
14972,IMS
15008,Interactive
15009,Interactive
15047,Interactive
15123,DB2
15149,
15197,DB2
15211,
15240,DB2
15351,
15371,Interactive
15402,
15409,
15436,
15489,
15561,Interactive
15593,
15622,
15670,
15689,
15724,
15732,
15733,
15745,
15823,
15850,
15947,
16165,
16185,Interactive
16190,
16191,
16196,DB2
16232,
16330,
16431,
16439,
16466,"MS SQL"
16467,
16525,
16534,
16645,Oracle
16682,SQL
16685,Oracle
16701,IMS
16766,Interactive
16771,Oracle
16819,
16843,
16875,
16886,Interactive
16889,Oracle
16932,
16963,
16997,IMS
17078,
17117,
17172,
17184,DB2
17222,
17246,
17279,
17287,Oracle
17308,
17429,
17455,
17498,
17584,
17594,Oracle
17603,
17639,Oracle
17663,
17743,IMS
17758,
17872,DB2
17903,"Oracle 8.1.6"
17990,
17995,
18012,
18015,
18044,
18088,DB2
18119,
18310,
18346,
18361,
18387,
18410,
18417,
18427,DB2
18428,
18438,DB2
18442,Interactive
18459,
18498,
18638,
18663,
18697,
18735,
18746,DB2
18808,
18890,
18917,
18945,Interactive
18961,
19040,
19079,
19114,DB2
19122,
19136,
19148,
19154,DB2/400
19189,
19297,
19303,
19403,
19410,DB2
19456,No
19461,
19490,
19491,
19594,
19659,Interactive
19660,Interactive
19671,DB2VSAM
19680,Oracle
19730,"SQL Server"
19757,Oracle
19799,
19815,DB2
19881,
19885,
19905,Yes
20082,
20093,"IMSDB2LOTUS NOTES"
20106,DB2
20115,
20123,
20177,OBJECTSTOR
20236,
20352,
20398,
20419,
20477,"Oracle 8.1.6"
20538,
20614,
20758,
20776,
20837,
20887,
20892,
21078,
21107,DB2
21114,Interactive
21151,Interactive
21180,"Oracle 8i"
21195,
21198,
21261,IMS
21317,
21370,
21394,
21399,
21420,
21429,
21433,
21467,
21496,"IMS/DB,DC"
21522,
21552,
21609,Interactive
21623,
21668,"Oracle 8.0.6"
21775,Batch
21824,
21859,
21915,DB2
22063,"DB2IMSCOMLINKWEB Server"
22274,DB2
22342,
22361,DB2
22425,
22465,
22471,DB2/400
22495,
22507,FOXPROIMSDB2
22638,
22727,
22776,
22886,Interactive
22893,Interactive
22922,
22951,
22957,
23066,MAPER
23110,
23122,
23182,
23317,
23467,
23518,Interactive
23538,
23559,
23565,Interactive
23573,
23656,
23687,"DB2Oracle 9i"
23698,
23708,
23712,Yes
23741,
23766,
23777,Batch
23784,
23972,
24009,IMS
24042,IMS
24043,Interactive
24125,DB2
24135,
24141,
24151,Batch
24210,
24366,
24407,"Domino R5.04a"
24457,
24505,
24543,
24573,
24615,
24629,
24633,Batch
24661,
24851,
24866,
24889,
24937,No
25053,
25120,DB2
25126,
25151,
25158,
25213,
25268,
25270,
25310,Interactive
25336,Interactive
25343,
25346,
25438,
25461,
25509,Interactive
25516,
25543,"SQL Server"
25618,
25641,"SQL Server 7.0"
25786,
25885,"IMS/DB,DC"
25916,MySQL
25926,DB2
25931,DB2
25975,DB2
25979,"DB2 UDB for AIX7.2.2"
26007,
26047,
26096,
26105,
26137,
26156,DB2
26187,
26199,Batch
26274,
26284,
26290,
26315,
26339,IMS/DBDC
26391,
26457,
26470,Exchange
26513,
26537,DB2/400
26575,
26604,
26738,
26765,Oracle
26888,
26895,
26925,
26994,
26997,DB2
27060,DB2
27151,
27171,Interactive
27245,
27357,Oracle
27361,
27423,
27574,
27727,
27743,
27745,
27858,
