pryiddbms1,dbms1
10003,DB2
10019,DB2
10104,DB2
10267,DB2
10388,DB2
10496,DB2
10566,Oracle
10621,RDB400
10632,DB2
10649,DB2
10667,DB2
10750,DB2
10896,DB2
10929,DB2
10960,DB2
10997,IMS
11044,IMS
11055,DB2
11083,DB2
11101,DB2
11113,"SQL Server"
11132,Interactive
11251,DB2
11339,DB2
11389,DB2
11436,Oracle
11493,DB2
11527,DB2
11569,DB2
11714,IMS
11755,Oracle
11763,DB2
11785,DB2
11993,DB2
12019,DB2
12038,Batch
12060,DB2
12082,DATACOM
12097,DB2
12146,Oracle
12152,DB2
12153,DB2
12174,Oracle
12175,Interactive
12181,DB2
12202,Oracle
12204,"Oracle 7.3.3"
12305,DB2
12344,DB2
12365,Oracle
12377,DB2
12410,Oracle
12529,Interactive
12573,Oracle
12667,HIRDB
12684,DB2
12712,DB2
12728,DB2
12888,DB2
13137,DB2
13169,DB2
13217,Interactive
13246,IMS
13273,DB2
13303,No
13367,DB2
13403,Oracle
13597,"Oracle 8"
13652,DB2
13680,Interactive
13712,DB2
13795,DB2
13884,DB2
13896,"Oracle 8.1.6"
13915,DB2
13981,"SQL Server"
14078,DB2
14091,DB2
14157,No
14228,DB2
14257,IMS
14289,No
14374,DB2
14410,DB2
14422,DB2
14439,DB2
14466,DB2
14483,DB2
14494,DB2
14544,DB2
14712,ISAM
14715,DB2
14758,DB2/400
14764,IMS
14780,DB2
14879,Interactive
14892,DB2
14959,DB2
14968,DB2
14972,IMS
15008,Interactive
15009,Interactive
15047,Interactive
15123,DB2
15149,DB2
15197,DB2
15211,DB2
15240,DB2
15351,DB2
15371,Interactive
15402,DB2
15409,DB2
15436,DB2
15489,DB2
15561,Interactive
15593,DB2
15622,DB2
15670,DB2
15689,DB2
15724,DB2
15732,DB2
15733,DB2
15745,DB2
15823,DB2
15850,DB2
15947,DB2
16165,DB2
16185,Interactive
16190,DB2
16191,DB2
16196,DB2
16232,DB2
16330,DB2
16431,DB2
16439,DB2
16466,"MS SQL"
16467,DB2
16525,DB2
16534,DB2
16645,Oracle
16682,SQL
16685,Oracle
16701,IMS
16766,Interactive
16771,Oracle
16819,DB2
16843,DB2
16875,DB2
16886,Interactive
16889,Oracle
16932,DB2
16963,DB2
16997,IMS
17078,DB2
17117,DB2
17172,DB2
17184,DB2
17222,DB2
17246,DB2
17279,DB2
17287,Oracle
17308,DB2
17429,DB2
17455,DB2
17498,DB2
17584,DB2
17594,Oracle
17603,DB2
17639,Oracle
17663,DB2
17743,IMS
17758,DB2
17872,DB2
17903,"Oracle 8.1.6"
17990,DB2
17995,DB2
18012,DB2
18015,DB2
18044,DB2
18088,DB2
18119,DB2
18310,DB2
18346,DB2
18361,DB2
18387,DB2
18410,DB2
18417,DB2
18427,DB2
18428,DB2
18438,DB2
18442,Interactive
18459,DB2
18498,DB2
18638,DB2
18663,DB2
18697,DB2
18735,DB2
18746,DB2
18808,DB2
18890,DB2
18917,DB2
18945,Interactive
18961,DB2
19040,DB2
19079,DB2
19114,DB2
19122,DB2
19136,DB2
19148,DB2
19154,DB2/400
19189,DB2
19297,DB2
19303,DB2
19403,DB2
19410,DB2
19456,No
19461,DB2
19490,DB2
19491,DB2
19594,DB2
19659,Interactive
19660,Interactive
19671,DB2VSAM
19680,Oracle
19730,"SQL Server"
19757,Oracle
19799,DB2
19815,DB2
19881,DB2
19885,DB2
19905,Yes
20082,DB2
20093,"IMSDB2LOTUS NOTES"
20106,DB2
20115,DB2
20123,DB2
20177,OBJECTSTOR
20236,DB2
20352,DB2
20398,DB2
20419,DB2
20477,"Oracle 8.1.6"
20538,DB2
20614,DB2
20758,DB2
20776,DB2
20837,DB2
20887,DB2
20892,DB2
21078,DB2
21107,DB2
21114,Interactive
21151,Interactive
21180,"Oracle 8i"
21195,DB2
21198,DB2
21261,IMS
21317,DB2
21370,DB2
21394,DB2
21399,DB2
21420,DB2
21429,DB2
21433,DB2
21467,DB2
21496,"IMS/DB,DC"
21522,DB2
21552,DB2
21609,Interactive
21623,DB2
