pryiddbms1,dbms12,conteo2dbms1
10003,DB2,287
10019,DB2,287
10104,DB2,287
10267,DB2,287
10388,DB2,287
10496,DB2,287
10566,Oracle,21
10621,RDB400,1
10632,DB2,287
10649,DB2,287
10667,DB2,287
10750,DB2,287
10896,DB2,287
10929,DB2,287
10960,DB2,287
10997,IMS,13
11044,IMS,13
11055,DB2,287
11083,DB2,287
11101,DB2,287
11113,"SQL Server",4
11132,Interactive,30
11251,DB2,287
11339,DB2,287
11389,DB2,287
11436,Oracle,21
11493,DB2,287
11527,DB2,287
11569,DB2,287
11714,IMS,13
11755,Oracle,21
11763,DB2,287
11785,DB2,287
11993,DB2,287
12019,DB2,287
12038,Batch,6
12060,DB2,287
12082,DATACOM,1
12097,DB2,287
12146,Oracle,21
12152,DB2,287
12153,DB2,287
12174,Oracle,21
12175,Interactive,30
12181,DB2,287
12202,Oracle,21
12204,"Oracle 7.3.3",1
12305,DB2,287
12344,DB2,287
12365,Oracle,21
12377,DB2,287
12410,Oracle,21
12529,Interactive,30
12573,Oracle,21
12667,HIRDB,1
12684,DB2,287
12712,DB2,287
12728,DB2,287
12888,DB2,287
13137,DB2,287
13169,DB2,287
13217,Interactive,30
13246,IMS,13
13273,DB2,287
13303,No,5
13367,DB2,287
13403,Oracle,21
13597,"Oracle 8",1
13652,DB2,287
13680,Interactive,30
13712,DB2,287
13795,DB2,287
13884,DB2,287
13896,"Oracle 8.1.6",3
13915,DB2,287
13981,"SQL Server",4
14078,DB2,287
14091,DB2,287
14157,No,5
14228,DB2,287
14257,IMS,13
14289,No,5
14374,DB2,287
14410,DB2,287
14422,DB2,287
14439,DB2,287
14466,DB2,287
14483,DB2,287
14494,DB2,287
14544,DB2,287
14712,ISAM,1
14715,DB2,287
14758,DB2/400,4
14764,IMS,13
14780,DB2,287
14879,Interactive,30
14892,DB2,287
14959,DB2,287
14968,DB2,287
14972,IMS,13
15008,Interactive,30
15009,Interactive,30
15047,Interactive,30
15123,DB2,287
15149,DB2,287
15197,DB2,287
15211,DB2,287
15240,DB2,287
15351,DB2,287
15371,Interactive,30
15402,DB2,287
15409,DB2,287
15436,DB2,287
15489,DB2,287
15561,Interactive,30
15593,DB2,287
15622,DB2,287
15670,DB2,287
15689,DB2,287
15724,DB2,287
15732,DB2,287
15733,DB2,287
15745,DB2,287
15823,DB2,287
15850,DB2,287
15947,DB2,287
16165,DB2,287
16185,Interactive,30
16190,DB2,287
16191,DB2,287
16196,DB2,287
16232,DB2,287
16330,DB2,287
16431,DB2,287
16439,DB2,287
16466,"MS SQL",1
16467,DB2,287
16525,DB2,287
16534,DB2,287
16645,Oracle,21
16682,SQL,1
16685,Oracle,21
16701,IMS,13
16766,Interactive,30
16771,Oracle,21
16819,DB2,287
16843,DB2,287
16875,DB2,287
16886,Interactive,30
16889,Oracle,21
16932,DB2,287
16963,DB2,287
16997,IMS,13
17078,DB2,287
17117,DB2,287
17172,DB2,287
17184,DB2,287
17222,DB2,287
17246,DB2,287
17279,DB2,287
17287,Oracle,21
17308,DB2,287
17429,DB2,287
17455,DB2,287
17498,DB2,287
17584,DB2,287
17594,Oracle,21
17603,DB2,287
17639,Oracle,21
17663,DB2,287
17743,IMS,13
17758,DB2,287
17872,DB2,287
17903,"Oracle 8.1.6",3
17990,DB2,287
17995,DB2,287
18012,DB2,287
18015,DB2,287
18044,DB2,287
18088,DB2,287
18119,DB2,287
18310,DB2,287
18346,DB2,287
18361,DB2,287
18387,DB2,287
18410,DB2,287
18417,DB2,287
18427,DB2,287
18428,DB2,287
18438,DB2,287
18442,Interactive,30
18459,DB2,287
18498,DB2,287
18638,DB2,287
18663,DB2,287
18697,DB2,287
18735,DB2,287
18746,DB2,287
18808,DB2,287
18890,DB2,287
18917,DB2,287
18945,Interactive,30
18961,DB2,287
19040,DB2,287
19079,DB2,287
19114,DB2,287
19122,DB2,287
19136,DB2,287
19148,DB2,287
19154,DB2/400,4
19189,DB2,287
19297,DB2,287
19303,DB2,287
19403,DB2,287
19410,DB2,287
19456,No,5
19461,DB2,287
19490,DB2,287
19491,DB2,287
19594,DB2,287
19659,Interactive,30
19660,Interactive,30
19671,DB2VSAM,1
19680,Oracle,21
19730,"SQL Server",4
19757,Oracle,21
19799,DB2,287
19815,DB2,287
19881,DB2,287
19885,DB2,287
19905,Yes,2
20082,DB2,287
20093,"IMSDB2LOTUS NOTES",1
20106,DB2,287
20115,DB2,287
20123,DB2,287
20177,OBJECTSTOR,1
20236,DB2,287
20352,DB2,287
20398,DB2,287
20419,DB2,287
20477,"Oracle 8.1.6",3
20538,DB2,287
20614,DB2,287
20758,DB2,287
20776,DB2,287
20837,DB2,287
20887,DB2,287
20892,DB2,287
21078,DB2,287
21107,DB2,287
21114,Interactive,30
21151,Interactive,30
21180,"Oracle 8i",1
21195,DB2,287
21198,DB2,287
21261,IMS,13
21317,DB2,287
21370,DB2,287
21394,DB2,287
21399,DB2,287
21420,DB2,287
21429,DB2,287
21433,DB2,287
21467,DB2,287
21496,"IMS/DB,DC",2
