pryiddvlmtd,dvlmtd
10003,"Waterfall (incl Linear Processing & SSADM)"
10019,"Waterfall (incl Linear Processing & SSADM)"
10104,
10267,"Waterfall (incl Linear Processing & SSADM)"
10388,
10496,
10566,"Waterfall (incl Linear Processing & SSADM)"
10621,"Waterfall (incl Linear Processing & SSADM)"
10632,"Waterfall (incl Linear Processing & SSADM)"
10649,
10667,"Waterfall (incl Linear Processing & SSADM)"
10750,
10896,"Waterfall (incl Linear Processing & SSADM)"
10929,
10960,"Waterfall (incl Linear Processing & SSADM)"
10997,
11044,"Multifunctional Teams"
11055,
11083,
11101,
11113,
11132,
11251,
11339,
11389,"Agile Development"
11436,"Waterfall (incl Linear Processing & SSADM)"
11493,
11527,"Waterfall (incl Linear Processing & SSADM)"
11569,"Waterfall (incl Linear Processing & SSADM)"
11714,
11755,"Waterfall (incl Linear Processing & SSADM)"
11763,"Waterfall (incl Linear Processing & SSADM)"
11785,"Waterfall (incl Linear Processing & SSADM)"
11993,"Waterfall (incl Linear Processing & SSADM)"
12019,
12038,"Waterfall (incl Linear Processing & SSADM)"
12060,"Rapid Application Development (RAD)"
12082,"Waterfall (incl Linear Processing & SSADM)"
12097,"Waterfall (incl Linear Processing & SSADM)"
12146,
12152,
12153,"Rapid Application Development (RAD)"
12174,"Rapid Application Development (RAD)"
12175,
12181,
12202,"Waterfall (incl Linear Processing & SSADM)"
12204,"Waterfall (incl Linear Processing & SSADM)"
12305,"Waterfall (incl Linear Processing & SSADM)"
12344,"Waterfall (incl Linear Processing & SSADM)"
12365,
12377,"Waterfall (incl Linear Processing & SSADM)"
12410,
12529,
12573,"Waterfall (incl Linear Processing & SSADM)"
12667,"Waterfall (incl Linear Processing & SSADM)"
12684,"Waterfall (incl Linear Processing & SSADM)"
12712,
12728,
12888,"Waterfall (incl Linear Processing & SSADM)"
13137,"Waterfall (incl Linear Processing & SSADM)"
13169,
13217,
13246,"Waterfall (incl Linear Processing & SSADM)"
13273,
13303,"Waterfall (incl Linear Processing & SSADM)"
13367,
13403,
13597,"Waterfall (incl Linear Processing & SSADM)"
13652,"Waterfall (incl Linear Processing & SSADM)"
13680,
13712,
13795,
13884,
13896,"Waterfall (incl Linear Processing & SSADM)"
13915,"Waterfall (incl Linear Processing & SSADM)"
13981,"Waterfall (incl Linear Processing & SSADM)"
14078,"Waterfall (incl Linear Processing & SSADM)"
14091,"Waterfall (incl Linear Processing & SSADM)"
14157,"Waterfall (incl Linear Processing & SSADM)"
14228,
14257,
14289,"Unified Process"
14374,"Waterfall (incl Linear Processing & SSADM)"
14410,
14422,"Waterfall (incl Linear Processing & SSADM)"
14439,
14466,"Waterfall (incl Linear Processing & SSADM)"
14483,"Waterfall (incl Linear Processing & SSADM)"
14494,
14544,
14712,"Waterfall (incl Linear Processing & SSADM)"
14715,"Waterfall (incl Linear Processing & SSADM)"
14758,"Waterfall (incl Linear Processing & SSADM)"
14764,
14780,"Waterfall (incl Linear Processing & SSADM)"
14879,"Waterfall (incl Linear Processing & SSADM)"
14892,"Waterfall (incl Linear Processing & SSADM)"
14959,"Waterfall (incl Linear Processing & SSADM)"
14968,
14972,"Waterfall (incl Linear Processing & SSADM)"
15008,
15009,"Waterfall (incl Linear Processing & SSADM)"
15047,
15123,"Waterfall (incl Linear Processing & SSADM)"
15149,"Waterfall (incl Linear Processing & SSADM)"
15197,
15211,"Waterfall (incl Linear Processing & SSADM)"
15240,"Waterfall (incl Linear Processing & SSADM)"
15351,
15371,"Waterfall (incl Linear Processing & SSADM)"
15402,
15409,"Waterfall (incl Linear Processing & SSADM)"
15436,"Waterfall (incl Linear Processing & SSADM)"
15489,"Waterfall (incl Linear Processing & SSADM)"
15561,
15593,"Waterfall (incl Linear Processing & SSADM)"
15622,
15670,"Waterfall (incl Linear Processing & SSADM)"
15689,"Waterfall (incl Linear Processing & SSADM)"
15724,"Waterfall (incl Linear Processing & SSADM)"
15732,"Waterfall (incl Linear Processing & SSADM)"
15733,
15745,
15823,
15850,
15947,
16165,
16185,
16190,
16191,"Waterfall (incl Linear Processing & SSADM)"
16196,
16232,
16330,"Waterfall (incl Linear Processing & SSADM)"
16431,
16439,
16466,
16467,
16525,
16534,"Waterfall (incl Linear Processing & SSADM)"
16645,
16682,
16685,"Joint Application Development (JAD)"
16701,"Waterfall (incl Linear Processing & SSADM)"
16766,"Waterfall (incl Linear Processing & SSADM)"
16771,
16819,"Waterfall (incl Linear Processing & SSADM)"
16843,"Waterfall (incl Linear Processing & SSADM)"
16875,
16886,
16889,
16932,"Waterfall (incl Linear Processing & SSADM)"
16963,"Waterfall (incl Linear Processing & SSADM)"
16997,"Waterfall (incl Linear Processing & SSADM)"
17078,"Waterfall (incl Linear Processing & SSADM)"
17117,"Waterfall (incl Linear Processing & SSADM)"
17172,"Waterfall (incl Linear Processing & SSADM)"
17184,
17222,"Waterfall (incl Linear Processing & SSADM)"
17246,
17279,"Waterfall (incl Linear Processing & SSADM)"
17287,
17308,
17429,
17455,
17498,
17584,
17594,"Waterfall (incl Linear Processing & SSADM)"
17603,
17639,
17663,
17743,"Multifunctional Teams"
17758,
17872,"Waterfall (incl Linear Processing & SSADM)"
17903,"Waterfall (incl Linear Processing & SSADM)"
17990,
17995,"Waterfall (incl Linear Processing & SSADM)"
18012,"Waterfall (incl Linear Processing & SSADM)"
18015,
18044,"Waterfall (incl Linear Processing & SSADM)"
18088,"Multifunctional TeamsWaterfall (incl Linear Processing & SSADM)"
18119,"Agile Development"
18310,"Waterfall (incl Linear Processing & SSADM)"
18346,
18361,
18387,"Joint Application Development (JAD)"
18410,
18417,"Waterfall (incl Linear Processing & SSADM)"
18427,"Rapid Application Development (RAD)"
18428,"Waterfall (incl Linear Processing & SSADM)"
18438,"Waterfall (incl Linear Processing & SSADM)"
18442,
18459,
18498,"Waterfall (incl Linear Processing & SSADM)"
18638,
18663,
18697,"Waterfall (incl Linear Processing & SSADM)"
18735,"Waterfall (incl Linear Processing & SSADM)"
18746,
18808,"Waterfall (incl Linear Processing & SSADM)"
18890,"Waterfall (incl Linear Processing & SSADM)"
18917,"Waterfall (incl Linear Processing & SSADM)"
18945,
18961,"Waterfall (incl Linear Processing & SSADM)"
19040,
19079,
19114,
19122,"Waterfall (incl Linear Processing & SSADM)"
19136,
19148,
19154,"Waterfall (incl Linear Processing & SSADM)"
19189,"Waterfall (incl Linear Processing & SSADM)"
19297,"Waterfall (incl Linear Processing & SSADM)"
19303,
19403,
