pryiddvlmtd,dvlmtd
10003,"Waterfall (incl Linear Processing & SSADM)"
10019,"Waterfall (incl Linear Processing & SSADM)"
10104,"Waterfall (incl Linear Processing & SSADM)"
10267,"Waterfall (incl Linear Processing & SSADM)"
10388,"Waterfall (incl Linear Processing & SSADM)"
10496,"Waterfall (incl Linear Processing & SSADM)"
10566,"Waterfall (incl Linear Processing & SSADM)"
10621,"Waterfall (incl Linear Processing & SSADM)"
10632,"Waterfall (incl Linear Processing & SSADM)"
10649,"Waterfall (incl Linear Processing & SSADM)"
10667,"Waterfall (incl Linear Processing & SSADM)"
10750,"Waterfall (incl Linear Processing & SSADM)"
10896,"Waterfall (incl Linear Processing & SSADM)"
10929,"Waterfall (incl Linear Processing & SSADM)"
10960,"Waterfall (incl Linear Processing & SSADM)"
10997,"Waterfall (incl Linear Processing & SSADM)"
11044,"Multifunctional Teams"
11055,"Waterfall (incl Linear Processing & SSADM)"
11083,"Waterfall (incl Linear Processing & SSADM)"
11101,"Waterfall (incl Linear Processing & SSADM)"
11113,"Waterfall (incl Linear Processing & SSADM)"
11132,"Waterfall (incl Linear Processing & SSADM)"
11251,"Waterfall (incl Linear Processing & SSADM)"
11339,"Waterfall (incl Linear Processing & SSADM)"
11389,"Agile Development"
11436,"Waterfall (incl Linear Processing & SSADM)"
11493,"Waterfall (incl Linear Processing & SSADM)"
11527,"Waterfall (incl Linear Processing & SSADM)"
11569,"Waterfall (incl Linear Processing & SSADM)"
11714,"Waterfall (incl Linear Processing & SSADM)"
11755,"Waterfall (incl Linear Processing & SSADM)"
11763,"Waterfall (incl Linear Processing & SSADM)"
11785,"Waterfall (incl Linear Processing & SSADM)"
11993,"Waterfall (incl Linear Processing & SSADM)"
12019,"Waterfall (incl Linear Processing & SSADM)"
12038,"Waterfall (incl Linear Processing & SSADM)"
12060,"Rapid Application Development (RAD)"
12082,"Waterfall (incl Linear Processing & SSADM)"
12097,"Waterfall (incl Linear Processing & SSADM)"
12146,"Waterfall (incl Linear Processing & SSADM)"
12152,"Waterfall (incl Linear Processing & SSADM)"
12153,"Rapid Application Development (RAD)"
12174,"Rapid Application Development (RAD)"
12175,"Waterfall (incl Linear Processing & SSADM)"
12181,"Waterfall (incl Linear Processing & SSADM)"
12202,"Waterfall (incl Linear Processing & SSADM)"
12204,"Waterfall (incl Linear Processing & SSADM)"
12305,"Waterfall (incl Linear Processing & SSADM)"
12344,"Waterfall (incl Linear Processing & SSADM)"
12365,"Waterfall (incl Linear Processing & SSADM)"
12377,"Waterfall (incl Linear Processing & SSADM)"
12410,"Waterfall (incl Linear Processing & SSADM)"
12529,"Waterfall (incl Linear Processing & SSADM)"
12573,"Waterfall (incl Linear Processing & SSADM)"
12667,"Waterfall (incl Linear Processing & SSADM)"
12684,"Waterfall (incl Linear Processing & SSADM)"
12712,"Waterfall (incl Linear Processing & SSADM)"
12728,"Waterfall (incl Linear Processing & SSADM)"
12888,"Waterfall (incl Linear Processing & SSADM)"
13137,"Waterfall (incl Linear Processing & SSADM)"
13169,"Waterfall (incl Linear Processing & SSADM)"
13217,"Waterfall (incl Linear Processing & SSADM)"
13246,"Waterfall (incl Linear Processing & SSADM)"
13273,"Waterfall (incl Linear Processing & SSADM)"
13303,"Waterfall (incl Linear Processing & SSADM)"
13367,"Waterfall (incl Linear Processing & SSADM)"
13403,"Waterfall (incl Linear Processing & SSADM)"
13597,"Waterfall (incl Linear Processing & SSADM)"
13652,"Waterfall (incl Linear Processing & SSADM)"
13680,"Waterfall (incl Linear Processing & SSADM)"
13712,"Waterfall (incl Linear Processing & SSADM)"
13795,"Waterfall (incl Linear Processing & SSADM)"
13884,"Waterfall (incl Linear Processing & SSADM)"
13896,"Waterfall (incl Linear Processing & SSADM)"
13915,"Waterfall (incl Linear Processing & SSADM)"
13981,"Waterfall (incl Linear Processing & SSADM)"
14078,"Waterfall (incl Linear Processing & SSADM)"
14091,"Waterfall (incl Linear Processing & SSADM)"
14157,"Waterfall (incl Linear Processing & SSADM)"
14228,"Waterfall (incl Linear Processing & SSADM)"
14257,"Waterfall (incl Linear Processing & SSADM)"
14289,"Unified Process"
14374,"Waterfall (incl Linear Processing & SSADM)"
14410,"Waterfall (incl Linear Processing & SSADM)"
14422,"Waterfall (incl Linear Processing & SSADM)"
14439,"Waterfall (incl Linear Processing & SSADM)"
14466,"Waterfall (incl Linear Processing & SSADM)"
14483,"Waterfall (incl Linear Processing & SSADM)"
14494,"Waterfall (incl Linear Processing & SSADM)"
14544,"Waterfall (incl Linear Processing & SSADM)"
14712,"Waterfall (incl Linear Processing & SSADM)"
14715,"Waterfall (incl Linear Processing & SSADM)"
14758,"Waterfall (incl Linear Processing & SSADM)"
14764,"Waterfall (incl Linear Processing & SSADM)"
14780,"Waterfall (incl Linear Processing & SSADM)"
14879,"Waterfall (incl Linear Processing & SSADM)"
14892,"Waterfall (incl Linear Processing & SSADM)"
14959,"Waterfall (incl Linear Processing & SSADM)"
14968,"Waterfall (incl Linear Processing & SSADM)"
14972,"Waterfall (incl Linear Processing & SSADM)"
15008,"Waterfall (incl Linear Processing & SSADM)"
15009,"Waterfall (incl Linear Processing & SSADM)"
15047,"Waterfall (incl Linear Processing & SSADM)"
15123,"Waterfall (incl Linear Processing & SSADM)"
15149,"Waterfall (incl Linear Processing & SSADM)"
15197,"Waterfall (incl Linear Processing & SSADM)"
15211,"Waterfall (incl Linear Processing & SSADM)"
15240,"Waterfall (incl Linear Processing & SSADM)"
15351,"Waterfall (incl Linear Processing & SSADM)"
15371,"Waterfall (incl Linear Processing & SSADM)"
15402,"Waterfall (incl Linear Processing & SSADM)"
15409,"Waterfall (incl Linear Processing & SSADM)"
15436,"Waterfall (incl Linear Processing & SSADM)"
15489,"Waterfall (incl Linear Processing & SSADM)"
15561,"Waterfall (incl Linear Processing & SSADM)"
15593,"Waterfall (incl Linear Processing & SSADM)"
15622,"Waterfall (incl Linear Processing & SSADM)"
15670,"Waterfall (incl Linear Processing & SSADM)"
15689,"Waterfall (incl Linear Processing & SSADM)"
15724,"Waterfall (incl Linear Processing & SSADM)"
15732,"Waterfall (incl Linear Processing & SSADM)"
15733,"Waterfall (incl Linear Processing & SSADM)"
15745,"Waterfall (incl Linear Processing & SSADM)"
15823,"Waterfall (incl Linear Processing & SSADM)"
15850,"Waterfall (incl Linear Processing & SSADM)"
15947,"Waterfall (incl Linear Processing & SSADM)"
16165,"Waterfall (incl Linear Processing & SSADM)"
