pryiddvlmtd,dvlmtd2,conteo2dvlmtd
10003,"Waterfall (incl Linear Processing & SSADM)",380
10019,"Waterfall (incl Linear Processing & SSADM)",380
10104,"Waterfall (incl Linear Processing & SSADM)",380
10267,"Waterfall (incl Linear Processing & SSADM)",380
10388,"Waterfall (incl Linear Processing & SSADM)",380
10496,"Waterfall (incl Linear Processing & SSADM)",380
10566,"Waterfall (incl Linear Processing & SSADM)",380
10621,"Waterfall (incl Linear Processing & SSADM)",380
10632,"Waterfall (incl Linear Processing & SSADM)",380
10649,"Waterfall (incl Linear Processing & SSADM)",380
10667,"Waterfall (incl Linear Processing & SSADM)",380
10750,"Waterfall (incl Linear Processing & SSADM)",380
10896,"Waterfall (incl Linear Processing & SSADM)",380
10929,"Waterfall (incl Linear Processing & SSADM)",380
10960,"Waterfall (incl Linear Processing & SSADM)",380
10997,"Waterfall (incl Linear Processing & SSADM)",380
11044,"Multifunctional Teams",3
11055,"Waterfall (incl Linear Processing & SSADM)",380
11083,"Waterfall (incl Linear Processing & SSADM)",380
11101,"Waterfall (incl Linear Processing & SSADM)",380
11113,"Waterfall (incl Linear Processing & SSADM)",380
11132,"Waterfall (incl Linear Processing & SSADM)",380
11251,"Waterfall (incl Linear Processing & SSADM)",380
11339,"Waterfall (incl Linear Processing & SSADM)",380
11389,"Agile Development",2
11436,"Waterfall (incl Linear Processing & SSADM)",380
11493,"Waterfall (incl Linear Processing & SSADM)",380
11527,"Waterfall (incl Linear Processing & SSADM)",380
11569,"Waterfall (incl Linear Processing & SSADM)",380
11714,"Waterfall (incl Linear Processing & SSADM)",380
11755,"Waterfall (incl Linear Processing & SSADM)",380
11763,"Waterfall (incl Linear Processing & SSADM)",380
11785,"Waterfall (incl Linear Processing & SSADM)",380
11993,"Waterfall (incl Linear Processing & SSADM)",380
12019,"Waterfall (incl Linear Processing & SSADM)",380
12038,"Waterfall (incl Linear Processing & SSADM)",380
12060,"Rapid Application Development (RAD)",5
12082,"Waterfall (incl Linear Processing & SSADM)",380
12097,"Waterfall (incl Linear Processing & SSADM)",380
12146,"Waterfall (incl Linear Processing & SSADM)",380
12152,"Waterfall (incl Linear Processing & SSADM)",380
12153,"Rapid Application Development (RAD)",5
12174,"Rapid Application Development (RAD)",5
12175,"Waterfall (incl Linear Processing & SSADM)",380
12181,"Waterfall (incl Linear Processing & SSADM)",380
12202,"Waterfall (incl Linear Processing & SSADM)",380
12204,"Waterfall (incl Linear Processing & SSADM)",380
12305,"Waterfall (incl Linear Processing & SSADM)",380
12344,"Waterfall (incl Linear Processing & SSADM)",380
12365,"Waterfall (incl Linear Processing & SSADM)",380
12377,"Waterfall (incl Linear Processing & SSADM)",380
12410,"Waterfall (incl Linear Processing & SSADM)",380
12529,"Waterfall (incl Linear Processing & SSADM)",380
12573,"Waterfall (incl Linear Processing & SSADM)",380
12667,"Waterfall (incl Linear Processing & SSADM)",380
12684,"Waterfall (incl Linear Processing & SSADM)",380
12712,"Waterfall (incl Linear Processing & SSADM)",380
12728,"Waterfall (incl Linear Processing & SSADM)",380
12888,"Waterfall (incl Linear Processing & SSADM)",380
13137,"Waterfall (incl Linear Processing & SSADM)",380
13169,"Waterfall (incl Linear Processing & SSADM)",380
13217,"Waterfall (incl Linear Processing & SSADM)",380
13246,"Waterfall (incl Linear Processing & SSADM)",380
13273,"Waterfall (incl Linear Processing & SSADM)",380
13303,"Waterfall (incl Linear Processing & SSADM)",380
13367,"Waterfall (incl Linear Processing & SSADM)",380
13403,"Waterfall (incl Linear Processing & SSADM)",380
13597,"Waterfall (incl Linear Processing & SSADM)",380
13652,"Waterfall (incl Linear Processing & SSADM)",380
13680,"Waterfall (incl Linear Processing & SSADM)",380
13712,"Waterfall (incl Linear Processing & SSADM)",380
13795,"Waterfall (incl Linear Processing & SSADM)",380
13884,"Waterfall (incl Linear Processing & SSADM)",380
13896,"Waterfall (incl Linear Processing & SSADM)",380
13915,"Waterfall (incl Linear Processing & SSADM)",380
13981,"Waterfall (incl Linear Processing & SSADM)",380
14078,"Waterfall (incl Linear Processing & SSADM)",380
14091,"Waterfall (incl Linear Processing & SSADM)",380
14157,"Waterfall (incl Linear Processing & SSADM)",380
14228,"Waterfall (incl Linear Processing & SSADM)",380
14257,"Waterfall (incl Linear Processing & SSADM)",380
14289,"Unified Process",2
14374,"Waterfall (incl Linear Processing & SSADM)",380
14410,"Waterfall (incl Linear Processing & SSADM)",380
14422,"Waterfall (incl Linear Processing & SSADM)",380
14439,"Waterfall (incl Linear Processing & SSADM)",380
14466,"Waterfall (incl Linear Processing & SSADM)",380
14483,"Waterfall (incl Linear Processing & SSADM)",380
14494,"Waterfall (incl Linear Processing & SSADM)",380
14544,"Waterfall (incl Linear Processing & SSADM)",380
14712,"Waterfall (incl Linear Processing & SSADM)",380
14715,"Waterfall (incl Linear Processing & SSADM)",380
14758,"Waterfall (incl Linear Processing & SSADM)",380
14764,"Waterfall (incl Linear Processing & SSADM)",380
14780,"Waterfall (incl Linear Processing & SSADM)",380
14879,"Waterfall (incl Linear Processing & SSADM)",380
14892,"Waterfall (incl Linear Processing & SSADM)",380
14959,"Waterfall (incl Linear Processing & SSADM)",380
14968,"Waterfall (incl Linear Processing & SSADM)",380
14972,"Waterfall (incl Linear Processing & SSADM)",380
15008,"Waterfall (incl Linear Processing & SSADM)",380
15009,"Waterfall (incl Linear Processing & SSADM)",380
15047,"Waterfall (incl Linear Processing & SSADM)",380
15123,"Waterfall (incl Linear Processing & SSADM)",380
15149,"Waterfall (incl Linear Processing & SSADM)",380
15197,"Waterfall (incl Linear Processing & SSADM)",380
15211,"Waterfall (incl Linear Processing & SSADM)",380
15240,"Waterfall (incl Linear Processing & SSADM)",380
15351,"Waterfall (incl Linear Processing & SSADM)",380
15371,"Waterfall (incl Linear Processing & SSADM)",380
15402,"Waterfall (incl Linear Processing & SSADM)",380
15409,"Waterfall (incl Linear Processing & SSADM)",380
15436,"Waterfall (incl Linear Processing & SSADM)",380
15489,"Waterfall (incl Linear Processing & SSADM)",380
15561,"Waterfall (incl Linear Processing & SSADM)",380
15593,"Waterfall (incl Linear Processing & SSADM)",380
15622,"Waterfall (incl Linear Processing & SSADM)",380
15670,"Waterfall (incl Linear Processing & SSADM)",380
15689,"Waterfall (incl Linear Processing & SSADM)",380
15724,"Waterfall (incl Linear Processing & SSADM)",380
15732,"Waterfall (incl Linear Processing & SSADM)",380
15733,"Waterfall (incl Linear Processing & SSADM)",380
15745,"Waterfall (incl Linear Processing & SSADM)",380
15823,"Waterfall (incl Linear Processing & SSADM)",380
15850,"Waterfall (incl Linear Processing & SSADM)",380
15947,"Waterfall (incl Linear Processing & SSADM)",380
16165,"Waterfall (incl Linear Processing & SSADM)",380
16185,"Waterfall (incl Linear Processing & SSADM)",380
16190,"Waterfall (incl Linear Processing & SSADM)",380
