pryiddvltyp,dvltyp2
10003,Enhancement
10019,Enhancement
10104,Enhancement
10267,Enhancement
10388,Enhancement
10496,Enhancement
10566,"New Development"
10621,Enhancement
10632,Enhancement
10649,Enhancement
10667,Enhancement
10750,Enhancement
10896,Enhancement
10929,Enhancement
10960,Enhancement
10997,"New Development"
11044,Enhancement
11055,Enhancement
11083,"New Development"
11101,Enhancement
11113,Enhancement
11132,Enhancement
11251,"New Development"
11339,Enhancement
11389,"New Development"
11436,"New Development"
11493,Enhancement
11527,Enhancement
11569,Enhancement
11714,"New Development"
11755,"New Development"
11763,Enhancement
11785,Enhancement
11993,Enhancement
12019,Enhancement
12038,Enhancement
12060,"New Development"
12082,"New Development"
12097,Enhancement
12146,Enhancement
12152,Enhancement
12153,"New Development"
12174,"New Development"
12175,Enhancement
12181,Enhancement
12202,Enhancement
12204,"New Development"
12305,Enhancement
12344,Enhancement
12365,Enhancement
12377,Enhancement
12410,Enhancement
12529,Enhancement
12573,"New Development"
12667,Enhancement
12684,Enhancement
12712,Enhancement
12728,Enhancement
12888,Enhancement
13137,Enhancement
13169,"New Development"
13217,"New Development"
13246,Enhancement
13273,Enhancement
13303,"New Development"
13367,Enhancement
13403,Enhancement
13597,"New Development"
13652,Enhancement
13680,Enhancement
13712,Enhancement
13795,Enhancement
13884,Enhancement
13896,Enhancement
13915,Enhancement
13981,"New Development"
14078,Enhancement
14091,Enhancement
14157,"New Development"
14228,Enhancement
14257,"New Development"
14289,Enhancement
14374,"New Development"
14410,Enhancement
14422,"New Development"
14439,Enhancement
14466,Enhancement
14483,Enhancement
14494,Enhancement
14544,Enhancement
14712,Enhancement
14715,Enhancement
14758,Enhancement
14764,Enhancement
14780,Enhancement
14879,Enhancement
14892,Enhancement
14959,Enhancement
14968,Enhancement
14972,"New Development"
15008,"New Development"
15009,Enhancement
15047,Enhancement
15123,"New Development"
15149,Enhancement
15197,Re-development
15211,Enhancement
15240,"New Development"
15351,Enhancement
15371,Enhancement
15402,"New Development"
15409,Enhancement
15436,"New Development"
15489,Enhancement
15561,Enhancement
15593,Enhancement
15622,Enhancement
15670,Enhancement
15689,Enhancement
15724,Enhancement
15732,Enhancement
15733,Enhancement
15745,Enhancement
15823,Enhancement
15850,Enhancement
15947,Enhancement
16165,Enhancement
16185,Enhancement
16190,Enhancement
16191,Enhancement
16196,"New Development"
16232,"New Development"
16330,Enhancement
16431,Enhancement
16439,Enhancement
16466,Enhancement
16467,"New Development"
16525,Enhancement
16534,Enhancement
16645,Enhancement
16682,Enhancement
16685,Enhancement
16701,Enhancement
16766,Enhancement
16771,Enhancement
16819,Enhancement
16843,Enhancement
16875,Enhancement
16886,"New Development"
16889,"New Development"
16932,Enhancement
16963,Enhancement
16997,Enhancement
17078,Enhancement
17117,Enhancement
17172,Enhancement
17184,Enhancement
17222,Enhancement
17246,Enhancement
17279,Enhancement
17287,Enhancement
17308,Enhancement
17429,Enhancement
17455,Enhancement
17498,Enhancement
17584,Enhancement
17594,Enhancement
17603,Enhancement
17639,Enhancement
17663,Enhancement
17743,Enhancement
17758,Enhancement
17872,Enhancement
17903,Enhancement
17990,Enhancement
17995,Enhancement
18012,Enhancement
18015,Enhancement
18044,Enhancement
18088,Enhancement
18119,Enhancement
18310,Enhancement
18346,Enhancement
18361,Enhancement
18387,"New Development"
18410,Enhancement
18417,Enhancement
18427,"New Development"
18428,Enhancement
18438,"New Development"
18442,Enhancement
18459,Enhancement
18498,Enhancement
18638,Enhancement
18663,Enhancement
18697,Enhancement
18735,Enhancement
18746,Enhancement
18808,Enhancement
18890,Enhancement
18917,Enhancement
18945,Enhancement
18961,Enhancement
19040,Enhancement
19079,Enhancement
19114,Enhancement
19122,Enhancement
19136,Enhancement
19148,"New Development"
19154,"New Development"
19189,Enhancement
19297,Enhancement
19303,Enhancement
19403,Enhancement
19410,Enhancement
19456,Enhancement
19461,Enhancement
19490,Enhancement
19491,Enhancement
19594,Enhancement
19659,Enhancement
19660,Enhancement
19671,Enhancement
19680,Enhancement
19730,"New Development"
19757,"New Development"
19799,Enhancement
19815,Re-development
19881,Enhancement
19885,Enhancement
19905,"New Development"
20082,Enhancement
20093,Enhancement
20106,Enhancement
20115,Enhancement
20123,Enhancement
20177,Enhancement
20236,Enhancement
20352,Enhancement
20398,Enhancement
20419,Enhancement
20477,"New Development"
20538,Enhancement
20614,"New Development"
20758,Enhancement
20776,Enhancement
20837,"New Development"
20887,Enhancement
20892,Enhancement
21078,Enhancement
21107,Enhancement
21114,Enhancement
21151,Enhancement
21180,"New Development"
21195,Enhancement
21198,Enhancement
21261,Enhancement
21317,Enhancement
21370,Enhancement
21394,Enhancement
21399,Enhancement
21420,"New Development"
21429,Enhancement
21433,Enhancement
21467,Enhancement
21496,Enhancement
