pryid,indsct,orgtyp,apptyp,dvltyp,dvlplt,lngtyp,prglng1,fncsze,nwell1,smmwrkeff,maxteasze,dbms1,dvlmtd,loc,conteodvltyp
10003,189,150,12,Enhancement,281,330,177,67,741,608,-1,287,380,-1,323
10019,189,150,10,Enhancement,281,330,5,98,324,266,-1,287,380,-1,323
10104,189,150,187,Enhancement,281,61,12,7,396,396,-1,287,380,-1,323
10267,189,150,33,Enhancement,281,61,8,107,1380,1137,-1,287,380,-1,323
10388,9,1,8,Enhancement,281,61,3,139,5062,5062,10,287,380,-1,323
10496,57,57,187,Enhancement,281,330,177,47,2450,2450,36,287,380,-1,323
10566,9,1,187,"New Development",18,61,7,359,8580,8580,-1,21,380,-1,74
10621,19,19,187,Enhancement,78,330,1,255,185,172,-1,1,380,-1,323
10632,189,150,33,Enhancement,281,330,177,185,1821,1672,-1,287,380,-1,323
10649,189,150,187,Enhancement,281,61,12,113,1847,1847,-1,287,380,-1,323
10667,189,150,33,Enhancement,281,61,8,56,119,98,-1,287,380,-1,323
10750,57,57,187,Enhancement,281,330,177,16,812,812,20,287,380,-1,323
10896,53,53,187,Enhancement,281,330,5,95,194,178,-1,287,380,-1,323
10929,57,57,187,Enhancement,281,330,177,40,3567,2818,33,287,380,-1,323
10960,189,150,3,Enhancement,281,330,177,107,782,645,-1,287,380,-1,323
10997,19,19,24,"New Development",78,330,34,200,1935,1935,6,13,380,-1,74
11044,19,19,9,Enhancement,78,330,34,170,2192,1973,-1,13,3,-1,323
11055,9,1,187,Enhancement,18,330,10,81,360,360,3,287,380,-1,323
11083,27,19,5,"New Development",281,61,3,228,2877,2877,9,287,380,-1,74
11101,189,150,187,Enhancement,281,61,1,78,336,336,5,287,380,8200,323
11113,189,150,187,Enhancement,18,61,1,579,2260,2057,4,4,380,-1,323
11132,189,150,12,Enhancement,281,330,177,58,278,278,-1,30,380,-1,323
11251,27,19,1,"New Development",281,330,10,733,4544,4544,5,287,380,-1,74
11339,189,150,187,Enhancement,281,330,177,156,901,748,-1,287,380,-1,323
11389,189,150,187,"New Development",281,330,1,630,5930,4756,-1,287,2,-1,74
11436,19,19,3,"New Development",18,330,13,599,9058,9058,-1,21,380,-1,74
11493,57,57,187,Enhancement,281,330,177,10,1675,1675,47,287,380,-1,323
11527,189,150,10,Enhancement,281,330,5,151,2810,2304,-1,287,380,-1,323
11569,189,150,187,Enhancement,281,61,3,64,2537,2080,-1,287,380,-1,323
11714,19,19,24,"New Development",78,9,2,109,2212,2212,6,13,380,-1,74
11755,4,3,187,"New Development",23,61,3,62,2640,1980,-1,21,380,-1,74
11763,189,150,33,Enhancement,281,330,19,164,2501,2051,-1,287,380,-1,323
11785,189,150,10,Enhancement,281,330,5,362,3376,2768,-1,287,380,-1,323
11993,189,150,2,Enhancement,281,330,177,64,1047,961,-1,287,380,-1,323
12019,57,57,187,Enhancement,281,330,177,22,1236,1125,26,287,380,-1,323
12038,189,34,13,Enhancement,78,330,177,19,136,136,-1,6,380,-1,323
12060,5,1,1,"New Development",23,61,2,1083,2042,2042,2,287,5,-1,74
12082,12,8,187,"New Development",78,61,1,782,2519,2343,-1,1,380,-1,74
12097,189,150,12,Enhancement,281,330,177,54,878,720,-1,287,380,-1,323
12146,9,3,1,Enhancement,281,61,3,696,6023,6023,10,21,380,-1,323
12152,57,57,187,Enhancement,281,330,177,27,1075,1075,20,287,380,-1,323
12153,4,3,1,"New Development",23,61,2,24,40,41,1,287,5,-1,74
12174,189,34,2,"New Development",23,330,19,181,1824,1514,5,21,5,-1,74
12175,189,150,12,Enhancement,281,330,177,176,1214,1214,-1,30,380,-1,323
12181,57,57,187,Enhancement,281,330,177,6,1299,1299,32,287,380,-1,323
12202,12,8,8,Enhancement,281,330,13,116,1512,1512,-1,21,380,-1,323
12204,1,1,187,"New Development",281,330,19,703,2511,2335,-1,1,380,-1,74
12305,189,150,12,Enhancement,281,330,177,100,1146,940,-1,287,380,-1,323
12344,189,150,5,Enhancement,281,330,6,126,3141,2576,-1,287,380,-1,323
12365,189,34,9,Enhancement,18,61,12,322,973,973,5,21,380,-1,323
12377,18,17,187,Enhancement,78,330,16,14,179,167,-1,287,380,-1,323
12410,189,34,24,Enhancement,18,61,7,173,2890,2399,10,21,380,-1,323
12529,18,17,187,Enhancement,78,61,12,103,673,673,-1,30,380,-1,323
12573,12,8,2,"New Development",23,330,19,1216,2228,1671,-1,21,380,-1,74
12667,19,19,187,Enhancement,18,330,11,1307,6600,6600,-1,1,380,-1,323
12684,189,150,5,Enhancement,281,330,177,66,621,509,-1,287,380,-1,323
12712,57,57,187,Enhancement,281,330,177,86,6113,6113,69,287,380,-1,323
12728,189,150,187,Enhancement,281,330,177,641,508,472,2,287,380,-1,323
12888,189,150,10,Enhancement,281,330,19,186,880,808,-1,287,380,-1,323
13137,189,150,5,Enhancement,281,330,177,193,5332,4372,-1,287,380,-1,323
13169,189,150,187,"New Development",281,330,177,1433,3838,3838,13,287,380,-1,74
13217,189,150,187,"New Development",281,330,1,1198,33206,33206,-1,30,380,-1,74
13246,53,53,187,Enhancement,78,330,34,227,2700,2700,-1,13,380,-1,323
13273,57,57,187,Enhancement,281,330,177,54,11565,11565,86,287,380,-1,323
13303,53,53,187,"New Development",281,330,19,92,3889,3889,-1,5,380,-1,74
13367,189,1,1,Enhancement,281,330,11,88,5242,5242,-1,287,380,-1,323
13403,189,34,1,Enhancement,78,330,11,184,1830,1830,6,21,380,-1,323
13597,9,1,187,"New Development",18,330,1,1220,7634,7100,-1,1,380,-1,74
13652,189,150,33,Enhancement,281,61,8,77,1402,1156,-1,287,380,-1,323
13680,18,17,187,Enhancement,78,330,13,89,983,983,-1,30,380,-1,323
13712,189,150,187,Enhancement,281,330,177,39,823,823,3,287,380,-1,323
13795,189,150,187,Enhancement,281,61,12,63,865,865,-1,287,380,-1,323
13884,189,150,187,Enhancement,281,330,177,26,184,136,2,287,380,-1,323
13896,9,1,2,Enhancement,23,330,19,50,1136,1136,-1,3,380,-1,323
13915,189,150,33,Enhancement,281,330,177,123,723,664,-1,287,380,-1,323
