pryid,indsct,orgtyp,apptyp,dvltyp,dvlplt,lngtyp,prglng1,fncsze,nwell1,smmwrkeff,maxteasze,dbms1,dvlmtd,loc,indsct2,conteo2ind,orgtyp2,conteo2org,apptyp2,conteo2app,dvlplt2,conteo2dvlplt,lngtyp2,conteo2lngtyp,prglng2,conteo2prglng,dbms12,conteo2dbms1,dvlmtd2,conteo2dvlmtd
10003,Communication,Telecommunications,"Online. eSales",Enhancement,Multi,3GL,Java,67,741,608,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Online. eSales",12,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
10019,Communication,Telecommunications,"Data Warehouse",Enhancement,Multi,3GL,Shell,98,324,266,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Data Warehouse",10,Multi,281,3GL,330,Shell,5,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
10104,Communication,Telecommunications,"Financial transaction process/accounting",Enhancement,Multi,4GL,Oracle,7,396,396,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Financial transaction process/accounting",187,Multi,281,4GL,61,Oracle,12,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
10267,Communication,Telecommunications,"Customer relationship management",Enhancement,Multi,4GL,"Amdocs framework",107,1380,1137,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Customer relationship management",33,Multi,281,4GL,61,"Amdocs framework",8,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
10388,"Service Industry","Citizens and the Municipalities","Stock control & order processing",Enhancement,Multi,4GL,ASP.Net,139,5062,5062,10,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,"Service Industry",9,"Citizens and the Municipalities",1,"Stock control & order processing",8,Multi,281,4GL,61,ASP.Net,3,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
10496,"Medical & Health Care","Medical and Health Care","Financial transaction process/accounting",Enhancement,Multi,3GL,Java,47,2450,2450,36,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,"Medical & Health Care",57,"Medical and Health Care",57,"Financial transaction process/accounting",187,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
10566,"Service Industry","Recreation & Personnel Services","Financial transaction process/accounting","New Development",MR,4GL,SQL,359,8580,8580,-1,Oracle,"Waterfall (incl Linear Processing & SSADM)",-1,"Service Industry",9,"Recreation & Personnel Services",1,"Financial transaction process/accounting",187,MR,18,4GL,61,SQL,7,Oracle,21,"Waterfall (incl Linear Processing & SSADM)",380
10621,Banking,Banking,"Financial transaction process/accounting",Enhancement,MF,3GL,RPG,255,185,172,-1,RDB400,"Waterfall (incl Linear Processing & SSADM)",-1,Banking,19,Banking,19,"Financial transaction process/accounting",187,MF,78,3GL,330,RPG,1,RDB400,1,"Waterfall (incl Linear Processing & SSADM)",380
10632,Communication,Telecommunications,"Customer relationship management",Enhancement,Multi,3GL,Java,185,1821,1672,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Customer relationship management",33,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
10649,Communication,Telecommunications,"Financial transaction process/accounting",Enhancement,Multi,4GL,Oracle,113,1847,1847,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Financial transaction process/accounting",187,Multi,281,4GL,61,Oracle,12,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
10667,Communication,Telecommunications,"Customer relationship management",Enhancement,Multi,4GL,"Amdocs framework",56,119,98,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Customer relationship management",33,Multi,281,4GL,61,"Amdocs framework",8,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
10750,"Medical & Health Care","Medical and Health Care","Financial transaction process/accounting",Enhancement,Multi,3GL,Java,16,812,812,20,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,"Medical & Health Care",57,"Medical and Health Care",57,"Financial transaction process/accounting",187,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
10896,Insurance,Insurance,"Financial transaction process/accounting",Enhancement,Multi,3GL,Mixed,95,194,178,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Insurance,53,Insurance,53,"Financial transaction process/accounting",187,Multi,281,3GL,330,Mixed,5,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
10929,"Medical & Health Care","Medical and Health Care","Financial transaction process/accounting",Enhancement,Multi,3GL,Java,40,3567,2818,33,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,"Medical & Health Care",57,"Medical and Health Care",57,"Financial transaction process/accounting",187,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
10960,Communication,Telecommunications,Other,Enhancement,Multi,3GL,Java,107,782,645,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,Other,3,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
10997,Banking,Banking,"Transaction/Production System","New Development",MF,3GL,COBOL,200,1935,1935,6,IMS,"Waterfall (incl Linear Processing & SSADM)",-1,Banking,19,Banking,19,"Transaction/Production System",24,MF,78,3GL,330,COBOL,34,IMS,13,"Waterfall (incl Linear Processing & SSADM)",380
11044,Banking,Banking,"Management Information System",Enhancement,MF,3GL,COBOL,170,2192,1973,-1,IMS,"Multifunctional Teams",-1,Banking,19,Banking,19,"Management Information System",9,MF,78,3GL,330,COBOL,34,IMS,13,"Multifunctional Teams",3
11055,"Service Industry","Wholesale & Retail TradeTransport & Storage","Financial transaction process/accounting",Enhancement,MR,3GL,C#,81,360,360,3,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,"Service Industry",9,"Wholesale & Retail TradeTransport & Storage",1,"Financial transaction process/accounting",187,MR,18,3GL,330,C#,10,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
11083,Government,Government,"Workflow support & management","New Development",Multi,4GL,ABAP,228,2877,2877,9,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Government,27,Government,19,"Workflow support & management",5,Multi,281,4GL,61,ABAP,3,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
11101,Communication,Telecommunications,"Financial transaction process/accounting",Enhancement,Multi,4GL,"Visual C++",78,336,336,5,DB2,"Waterfall (incl Linear Processing & SSADM)",8200,Communication,189,Telecommunications,150,"Financial transaction process/accounting",187,Multi,281,4GL,61,"Visual C++",1,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
11113,Communication,Telecommunications,"Financial transaction process/accounting",Enhancement,MR,4GL,ColdFusion,579,2260,2057,4,"SQL Server","Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Financial transaction process/accounting",187,MR,18,4GL,61,ColdFusion,1,"SQL Server",4,"Waterfall (incl Linear Processing & SSADM)",380
11132,Communication,Telecommunications,"Financial application area",Enhancement,Multi,3GL,Java,58,278,278,-1,Interactive,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Financial application area",12,Multi,281,3GL,330,Java,177,Interactive,30,"Waterfall (incl Linear Processing & SSADM)",380
11251,Government,Government,"Customer billing/relationship management","New Development",Multi,3GL,C#,733,4544,4544,5,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Government,27,Government,19,"Customer billing/relationship management",1,Multi,281,3GL,330,C#,10,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
11339,Communication,Telecommunications,"Financial transaction process/accounting",Enhancement,Multi,3GL,Java,156,901,748,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Financial transaction process/accounting",187,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
11389,Communication,Telecommunications,"Financial transaction process/accounting","New Development",Multi,3GL,Groovy,630,5930,4756,-1,DB2,"Agile Development",-1,Communication,189,Telecommunications,150,"Financial transaction process/accounting",187,Multi,281,3GL,330,Groovy,1,DB2,287,"Agile Development",2
11436,Banking,Banking,"Sales contact management","New Development",MR,3GL,C,599,9058,9058,-1,Oracle,"Waterfall (incl Linear Processing & SSADM)",-1,Banking,19,Banking,19,"Sales contact management",3,MR,18,3GL,330,C,13,Oracle,21,"Waterfall (incl Linear Processing & SSADM)",380
11493,"Medical & Health Care","Medical and Health Care","Financial transaction process/accounting",Enhancement,Multi,3GL,Java,10,1675,1675,47,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,"Medical & Health Care",57,"Medical and Health Care",57,"Financial transaction process/accounting",187,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
11527,Communication,Telecommunications,"Data Warehouse",Enhancement,Multi,3GL,Shell,151,2810,2304,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Data Warehouse",10,Multi,281,3GL,330,Shell,5,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
11569,Communication,Telecommunications,"Financial transaction process/accounting",Enhancement,Multi,4GL,ABAP,64,2537,2080,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Financial transaction process/accounting",187,Multi,281,4GL,61,ABAP,3,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
11714,Banking,Banking,"Transaction/Production System","New Development",MF,ApG,TELON,109,2212,2212,6,IMS,"Waterfall (incl Linear Processing & SSADM)",-1,Banking,19,Banking,19,"Transaction/Production System",24,MF,78,ApG,9,TELON,2,IMS,13,"Waterfall (incl Linear Processing & SSADM)",380
11755,"Electronics & Computers","Computers & Software","Financial transaction process/accounting","New Development",PC,4GL,ABAP,62,2640,1980,-1,Oracle,"Waterfall (incl Linear Processing & SSADM)",-1,"Electronics & Computers",4,"Computers & Software",3,"Financial transaction process/accounting",187,PC,23,4GL,61,ABAP,3,Oracle,21,"Waterfall (incl Linear Processing & SSADM)",380
11763,Communication,Telecommunications,"Customer relationship management",Enhancement,Multi,3GL,PL/SQL,164,2501,2051,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Customer relationship management",33,Multi,281,3GL,330,PL/SQL,19,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
11785,Communication,Telecommunications,"Data Warehouse",Enhancement,Multi,3GL,Shell,362,3376,2768,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Data Warehouse",10,Multi,281,3GL,330,Shell,5,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
11993,Communication,Telecommunications,"Other: Integration",Enhancement,Multi,3GL,Java,64,1047,961,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Other: Integration",2,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
