pryid,prglng1,fncsze,loc,Language,Avg,Median,Low,High
10003,Java,67,3551,Java,53,53,14,134
10019,Shell,98,9506,Shell,97,99,39,333
10104,Oracle,7,259,Oracle,37,40,17,60
10267,"Amdocs framework",107,2247,"Amdocs framework",21,21,13,37
10388,ASP.Net,139,6533,ASP.Net,47,53,31,63
10496,Java,47,2491,Java,53,53,14,134
10566,SQL,359,7539,SQL,21,21,13,37
10621,RPG,255,13515,RPG,53,53,14,134
10632,Java,185,9805,Java,53,53,14,134
10649,Oracle,113,4181,Oracle,37,40,17,60
10667,"Amdocs framework",56,1176,"Amdocs framework",21,21,13,37
10750,Java,16,848,Java,53,53,14,134
10896,Mixed,95,5035,MIXED,53,53,14,134
10929,Java,40,2120,Java,53,53,14,134
10960,Java,107,5671,Java,53,53,14,134
10997,COBOL,200,12200,COBOL,61,55,23,297
11044,COBOL,170,10370,COBOL,61,55,23,297
11055,C#,81,4374,C#,54,59,29,70
11083,ABAP,228,6384,ABAP,28,18,16,60
11101,"Visual C++",78,8200,"Visual C++",42,44,20,60
11113,ColdFusion,579,30108,ColdFusion,52,60,26,60
11132,Java,58,3074,Java,53,53,14,134
11251,C#,733,39582,C#,54,59,29,70
11339,Java,156,8268,Java,53,53,14,134
11389,Groovy,630,33390,Groovy,53,53,14,134
11436,C,599,58103,C,97,99,39,333
11493,Java,10,530,Java,53,53,14,134
11527,Shell,151,14647,Shell,97,99,39,333
11569,ABAP,64,1792,ABAP,28,18,16,60
11714,TELON,109,5777,TELON,53,53,14,134
11755,ABAP,62,1736,ABAP,28,18,16,60
11763,PL/SQL,164,6068,PL/SQL,37,35,13,60
11785,Shell,362,35114,Shell,97,99,39,333
11993,Java,64,3392,Java,53,53,14,134
12019,Java,22,1166,Java,53,53,14,134
12038,Java,19,1007,Java,53,53,14,134
12060,DELPHI,1083,57399,Delphi,53,53,14,134
12082,EASYTRIEVE,782,41446,EASYTRIEVE,53,53,14,134
12097,Java,54,2862,Java,53,53,14,134
12146,PowerBuilder,696,18096,Powerbuilder,26,28,7,40
12152,Java,27,1431,Java,53,53,14,134
12153,DELPHI,24,1272,Delphi,53,53,14,134
12174,"Visual Basic",181,7602,"Visual Basic",42,44,20,60
12175,Java,176,9328,Java,53,53,14,134
12181,Java,6,318,Java,53,53,14,134
12202,C,116,11252,C,97,99,39,333
12204,"Visual Basic",703,29526,"Visual Basic",42,44,20,60
12305,Java,100,5300,Java,53,53,14,134
12344,TIBCO,126,6804,TIBCO,54,59,29,70
12365,Oracle,322,11914,Oracle,37,40,17,60
12377,PL/I,14,896,PL/I,64,80,16,80
12410,SQL,173,3633,SQL,21,21,13,37
12529,Oracle,103,3811,Oracle,37,40,17,60
12573,PL/SQL,1216,44992,PL/SQL,37,35,13,60
12667,C++,1307,65350,C++,50,53,25,80
12684,Java,66,3498,Java,53,53,14,134
12712,Java,86,4558,Java,53,53,14,134
12728,Java,641,33973,Java,53,53,14,134
12888,PL/SQL,186,6882,PL/SQL,37,35,13,60
13137,Java,193,10229,Java,53,53,14,134
13169,Java,1433,75949,Java,53,53,14,134
13217,JavaScript,1198,56306,JavaScript,47,53,31,63
13246,COBOL,227,13847,COBOL,61,55,23,297
13273,Java,54,2862,Java,53,53,14,134
13303,"Visual Basic",92,3864,"Visual Basic",42,44,20,60
13367,C++,88,4400,C++,50,53,25,80
13403,C++,184,9200,C++,50,53,25,80
13597,APPS,1220,64660,Apps,53,53,14,134
13652,"Amdocs framework",77,1617,"Amdocs framework",21,21,13,37
13680,C,89,8633,C,97,99,39,333
13712,Java,39,2067,Java,53,53,14,134
13795,Oracle,63,2331,Oracle,37,40,17,60
13884,Java,26,1378,Java,53,53,14,134
13896,PL/SQL,50,1850,PL/SQL,37,35,13,60
13915,Java,123,6519,Java,53,53,14,134
13981,"Visual Basic",895,37590,"Visual Basic",42,44,20,60
14078,Java,53,2809,Java,53,53,14,134
14091,"Amdocs framework",52,1092,"Amdocs framework",21,21,13,37
14157,COBOL,396,24156,COBOL,61,55,23,297
14228,COBOL,81,4941,COBOL,61,55,23,297
14257,PL/I,100,6400,PL/I,64,80,16,80
14289,C#,154,8316,C#,54,59,29,70
14374,PL/I,192,12288,PL/I,64,80,16,80
14410,COOL:Gen,272,8704,Cool:Gen,32,24,10,82
14422,Java,2043,108279,Java,53,53,14,134
14439,COOL:Gen,57,1824,Cool:Gen,32,24,10,82
14466,NATURAL,84,3360,Natural,40,34,34,53
14483,PL/SQL,67,2479,PL/SQL,37,35,13,60
14494,Java,18,954,Java,53,53,14,134
14544,Java,4,212,Java,53,53,14,134
14712,"Visual Basic",385,16170,"Visual Basic",42,44,20,60
14715,Java,62,3286,Java,53,53,14,134
14758,"Visual Basic",97,4074,"Visual Basic",42,44,20,60
14764,COBOL,57,3477,COBOL,61,55,23,297
14780,Java,108,5724,Java,53,53,14,134
14879,Java,271,14363,Java,53,53,14,134
14892,Java,195,10335,Java,53,53,14,134
14959,"Amdocs framework",59,1239,"Amdocs framework",21,21,13,37
14968,Java,21,1113,Java,53,53,14,134
14972,COBOL,236,14396,COBOL,61,55,23,297
15008,Java,116,6148,Java,53,53,14,134
15009,Java,14,742,Java,53,53,14,134
15047,PowerBuilder,60,1560,Powerbuilder,26,28,7,40
15123,Java,775,41075,Java,53,53,14,134
15149,Java,167,8851,Java,53,53,14,134
15197,C#,253,13662,C#,54,59,29,70
15211,Java,146,7738,Java,53,53,14,134
15240,PL/I,228,14592,PL/I,64,80,16,80
15351,C,468,45396,C,97,99,39,333
15371,Java,372,19716,Java,53,53,14,134
15402,"Visual Basic",224,33500,"Visual Basic",42,44,20,60
15409,Java,132,6996,Java,53,53,14,134
15436,.Net,95,5415,.NET,57,60,53,60
15489,TIBCO,72,3888,TIBCO,54,59,29,70
15561,"Shell, C",112,10864,"Shell, C",97,99,39,333
15593,Java,163,8639,Java,53,53,14,134
15622,Java,114,6042,Java,53,53,14,134
15670,PL/SQL,56,2072,PL/SQL,37,35,13,60
15689,"Amdocs framework",135,2835,"Amdocs framework",21,21,13,37
15724,Java,77,4081,Java,53,53,14,134
15732,Java,212,11236,Java,53,53,14,134
15733,Java,87,4611,Java,53,53,14,134
15745,Java,76,4028,Java,53,53,14,134
15823,COOL:Gen,251,8032,Cool:Gen,32,24,10,82
15850,Java,4,212,Java,53,53,14,134
15947,Java,7,371,Java,53,53,14,134
16165,COOL:Gen,155,4960,Cool:Gen,32,24,10,82
16185,Oracle,89,3293,Oracle,37,40,17,60
16190,COOL:Gen,53,1696,Cool:Gen,32,24,10,82
16191,Java,105,5565,Java,53,53,14,134
