pryid,indsct,orgtyp,apptyp,dvltyp,dvlplt,lngtyp,prglng1,fncsze,nwell1,smmwrkeff,maxteasze,dbms1,dvlmtd,loc
10003,189,150,12,323,281,330,177,67,741,608,9,287,380,-1
10019,189,150,10,323,281,330,5,98,324,266,9,287,380,-1
10104,189,150,187,323,281,61,12,7,396,396,9,287,380,-1
10267,189,150,33,323,281,61,8,107,1380,1137,9,287,380,-1
10388,9,1,8,323,281,61,3,139,5062,5062,10,287,380,-1
10496,57,57,187,323,281,330,177,47,2450,2450,36,287,380,-1
10566,9,1,187,74,18,61,7,359,8580,8580,9,21,380,-1
10621,19,19,187,323,78,330,1,255,185,172,9,1,380,-1
10632,189,150,33,323,281,330,177,185,1821,1672,9,287,380,-1
10649,189,150,187,323,281,61,12,113,1847,1847,9,287,380,-1
10667,189,150,33,323,281,61,8,56,119,98,9,287,380,-1
10750,57,57,187,323,281,330,177,16,812,812,20,287,380,-1
10896,53,53,187,323,281,330,5,95,194,178,9,287,380,-1
10929,57,57,187,323,281,330,177,40,3567,2818,33,287,380,-1
10960,189,150,3,323,281,330,177,107,782,645,9,287,380,-1
10997,19,19,24,74,78,330,34,200,1935,1935,6,13,380,-1
11044,19,19,9,323,78,330,34,170,2192,1973,9,13,3,-1
11055,9,1,187,323,18,330,10,81,360,360,3,287,380,-1
11083,27,19,5,74,281,61,3,228,2877,2877,9,287,380,-1
11101,189,150,187,323,281,61,1,78,336,336,5,287,380,8200
11113,189,150,187,323,18,61,1,579,2260,2057,4,4,380,-1
11132,189,150,12,323,281,330,177,58,278,278,9,30,380,-1
11251,27,19,1,74,281,330,10,733,4544,4544,5,287,380,-1
11339,189,150,187,323,281,330,177,156,901,748,9,287,380,-1
11389,189,150,187,74,281,330,1,630,5930,4756,9,287,2,-1
11436,19,19,3,74,18,330,13,599,9058,9058,9,21,380,-1
11493,57,57,187,323,281,330,177,10,1675,1675,47,287,380,-1
11527,189,150,10,323,281,330,5,151,2810,2304,9,287,380,-1
11569,189,150,187,323,281,61,3,64,2537,2080,9,287,380,-1
11714,19,19,24,74,78,9,2,109,2212,2212,6,13,380,-1
11755,4,3,187,74,23,61,3,62,2640,1980,9,21,380,-1
11763,189,150,33,323,281,330,19,164,2501,2051,9,287,380,-1
11785,189,150,10,323,281,330,5,362,3376,2768,9,287,380,-1
11993,189,150,2,323,281,330,177,64,1047,961,9,287,380,-1
12019,57,57,187,323,281,330,177,22,1236,1125,26,287,380,-1
