,pryid,indsct,orgtyp,apptyp,dvltyp,dvlplt,lngtyp,prglng1,fncsze,nwell1,smmwrkeff,maxteasze,dbms1,dvlmtd,loc
1,0,1,1,0.059139785,1,1,1,1,0.008518118,0.010952085,0.009390366,0.058394161,1,1,0.008100496
2,0.000896108,1,1,0.048387097,1,1,1,0.022727273,0.012709573,0.004464841,0.003766014,0.058394161,1,1,0.022547471
3,0.005656679,1,1,1,1,1,0.161993769,0.0625,0.000405625,0.005584941,0.005903926,0.058394161,1,1,0.000114023
4,0.014785774,1,1,0.172043011,1,1,0.161993769,0.039772727,0.013926447,0.020892968,0.018090023,0.058394161,1,1,0.00493696
5,0.021562588,0.042553191,0,0.037634409,1,1,0.161993769,0.011363636,0.01825311,0.078173615,0.082638512,0.065693431,1,1,0.015334901
6,0.027611313,0.29787234,0.375838926,1,1,1,1,1,0.005813953,0.037538892,0.039682931,0.255474453,1,1,0.00552891
7,0.031531784,0.042553191,0,1,0.221875,0,0.161993769,0.034090909,0.047998918,0.132902925,0.140493693,0.058394161,0.06993007,1,0.017775481
8,0.034612153,0.095744681,0.120805369,1,1,0.228136882,1,0,0.033937263,0.002302427,0.002220139,0.058394161,0,1,0.032273403
9,0.035228227,1,1,0.172043011,1,1,1,1,0.024472688,0.027753578,0.026888352,0.058394161,1,1,0.023272853
10,0.036180342,1,1,1,1,1,0.161993769,0.0625,0.014737696,0.028158058,0.02976631,0.058394161,1,1,0.009628891
11,0.037188463,1,1,0.172043011,1,1,0.161993769,0.039772727,0.007030827,0.001275669,0.001003174,0.058394161,1,1,0.002338688
12,0.04183702,0.29787234,0.375838926,1,1,1,1,1,0.001622499,0.012056627,0.012745243,0.138686131,1,1,0.001542952
13,0.050014002,0.276595745,0.348993289,1,1,1,1,0.022727273,0.012303948,0.002442439,0.002318812,0.058394161,1,1,0.011700716
14,0.051862223,0.29787234,0.375838926,1,1,1,1,1,0.004867496,0.054915993,0.045734866,0.233576642,1,1,0.004628855
15,0.053598432,1,1,0.010752688,1,1,1,1,0.013926447,0.011589919,0.009998849,0.058394161,1,1,0.013243667
16,0.05567068,0.095744681,0.120805369,0.123655914,0.221875,0.228136882,1,0.1875,0.026500811,0.029527069,0.031213512,0.03649635,0.041958042,1,0.029083181
17,0.058302996,0.095744681,0.120805369,0.043010753,1,0.228136882,1,0.1875,0.022444565,0.033525202,0.03183844,0.058394161,0.041958042,0.005277045,0.024643556
18,0.05891907,0.042553191,0,1,1,0,1,0.051136364,0.010411033,0.005024891,0.005311888,0.01459854,1,1,0.010097114
19,0.060487258,0.138297872,0.120805369,0.021505376,0.221875,1,0.161993769,0.011363636,0.030286641,0.044181705,0.046705149,0.058394161,1,1,0.014973423
20,0.061495379,1,1,1,1,1,0.161993769,0,0.010005408,0.004651525,0.004917197,0.02919708,1,1,0.019379083
21,0.06216746,1,1,1,1,0,0.161993769,0,0.077744727,0.034583074,0.03321986,0.02189781,0.01048951,1,0.072528427
22,0.063231588,1,1,0.059139785,1,1,1,1,0.007301244,0.003749222,0.003963359,0.058394161,0.101398601,1,0.006943282
23,0.069896388,0.138297872,0.120805369,0,0.221875,1,1,0.051136364,0.098566793,0.070115121,0.074119756,0.02919708,1,1,0.095512583
24,0.074824979,1,1,1,1,1,1,1,0.02055165,0.013441195,0.011692733,0.058394161,1,1,0.019544053
25,0.077625315,1,1,1,0.221875,1,1,0,0.084640346,0.091677038,0.077606197,0.058394161,1,0.002638522,0.080490639
26,0.080257631,0.095744681,0.120805369,0.010752688,0.221875,0,1,0.068181818,0.080448891,0.140339141,0.14835463,0.058394161,0.06993007,1,0.140444981
27,0.083450014,0.29787234,0.375838926,1,1,1,1,1,0.000811249,0.025482265,0.026937688,0.335766423,1,1,0.000771476
28,0.085354243,1,1,0.048387097,1,1,1,0.022727273,0.019875608,0.04313939,0.037281892,0.058394161,1,1,0.035019663
29,0.087706525,1,1,1,1,1,0.161993769,0.011363636,0.008112493,0.038892346,0.033598105,0.058394161,1,1,0.003833119
30,0.095827499,0.095744681,0.120805369,0.123655914,0.221875,0.228136882,0,0.005681818,0.014196863,0.033836341,0.035768908,0.03649635,0.041958042,1,0.013500826
31,0.098123775,0.015957447,0.013422819,1,0.221875,0.019011407,0.161993769,0.011363636,0.007842077,0.040494711,0.031953558,0.058394161,0.06993007,1,0.003697261
32,0.098571829,1,1,0.172043011,1,1,1,0.102272727,0.021633315,0.038332296,0.033121187,0.058394161,1,1,0.014206799
33,0.099803976,1,1,0.048387097,1,1,1,0.022727273,0.048404543,0.051944617,0.044912592,0.058394161,1,1,0.084673105
34,0.111453374,1,1,0.005376344,1,1,1,1,0.008112493,0.015712508,0.015195619,0.058394161,1,1,0.007714758
35,0.112909549,0.29787234,0.375838926,1,1,1,1,1,0.002433748,0.018652769,0.017892677,0.182481752,1,1,0.002314427
36,0.113973677,1,0.22147651,0.064516129,1,0.228136882,1,1,0.002028123,0.001540137,0.001628102,0.058394161,0.017482517,1,0.001928689
37,0.115205825,0.021276596,0,0,0.221875,0.019011407,0.161993769,0.005681818,0.14588967,0.031191661,0.032973177,0.00729927,1,0.01055409,0.13873706
